Time,Area,Industry,Direction,Trade value
201512,MK02 Southwest Finland,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,49794118.0649959
201512,MK02 Southwest Finland,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,67441931.4042658
201512,MK02 Southwest Finland,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,81955527.87264176
201512,MK02 Southwest Finland,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,111001847.28189048
201512,MK02 Southwest Finland,"29, 30 Manufacture of transport equipment",Imports by countries of origin,63867781.98284396
201512,MK02 Southwest Finland,"29, 30 Manufacture of transport equipment",Exports by countries of destination,86503521.67714249
201512,MK02 Southwest Finland,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,46186319.693445936
201512,MK02 Southwest Finland,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,62555472.927847065
201512,MK02 Southwest Finland,"681, 68209, 683 Other real estate activities",Imports by countries of origin,24815802.312417995
201512,MK02 Southwest Finland,"681, 68209, 683 Other real estate activities",Exports by countries of destination,33610910.33104239
201512,MK02 Southwest Finland,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,6354275.510252414
201512,MK02 Southwest Finland,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,8606330.019278044
201512,MK02 Southwest Finland,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,152925147.1904737
201512,MK02 Southwest Finland,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,207124208.3923437
201512,MK02 Southwest Finland,B Mining and quarrying (05-09),Imports by countries of origin,5557959.653468864
201512,MK02 Southwest Finland,B Mining and quarrying (05-09),Exports by countries of destination,7527787.382591026
201512,MK02 Southwest Finland,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,19972901.795652732
201512,MK02 Southwest Finland,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,27051610.21404787
