Area,Time,Industry,Direction,Trade value
MK01 Uusimaa,201612,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,3057348434.4644613
MK01 Uusimaa,201612,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,1407014101.9790862
MK01 Uusimaa,201612,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,2390506184.814893
MK01 Uusimaa,201612,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,1100128423.3708675
MK01 Uusimaa,201612,N Administrative and support service activities (77-82),Imports by countries of origin,1501900773.81912
MK01 Uusimaa,201612,N Administrative and support service activities (77-82),Exports by countries of destination,691185716.5887475
MK01 Uusimaa,201612,O Public administration and defence; compulsory social security (84),Imports by countries of origin,2049368285.4387026
MK01 Uusimaa,201612,O Public administration and defence; compulsory social security (84),Exports by countries of destination,943134268.0004481
MK01 Uusimaa,201612,P Education (85),Imports by countries of origin,1595349031.496515
MK01 Uusimaa,201612,P Education (85),Exports by countries of destination,734191287.9771134
MK01 Uusimaa,201612,Q Human health and social work activities (86-88),Imports by countries of origin,2482778104.908232
MK01 Uusimaa,201612,Q Human health and social work activities (86-88),Exports by countries of destination,1142592635.602784
MK01 Uusimaa,201612,"R, S Other service activities (90-96)",Imports by countries of origin,1150599317.7166872
MK01 Uusimaa,201612,"R, S Other service activities (90-96)",Exports by countries of destination,529514218.1066024
MK01 Uusimaa,201612,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,31337633.239247274
MK01 Uusimaa,201612,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,14421807.9278206
MK01 Uusimaa,201712,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,112087426.07421364
MK01 Uusimaa,201712,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,55580919.29659287
MK01 Uusimaa,201712,B Mining and quarrying (05-09),Imports by countries of origin,36559671.84801382
MK01 Uusimaa,201712,B Mining and quarrying (05-09),Exports by countries of destination,18128886.010362696
MK01 Uusimaa,201712,10-12 Food industry etc.,Imports by countries of origin,366126568.79677606
MK01 Uusimaa,201712,10-12 Food industry etc.,Exports by countries of destination,181551597.582038
MK01 Uusimaa,201712,"13-15 Textile, clothing and leather industry",Imports by countries of origin,35596307.63594494
MK01 Uusimaa,201712,"13-15 Textile, clothing and leather industry",Exports by countries of destination,17651181.50416078
MK01 Uusimaa,201712,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,25721824.46223897
MK01 Uusimaa,201712,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,12754710.315591145
MK01 Uusimaa,201712,"17, 18 Paper industry; Printing",Imports by countries of origin,232074438.68739206
MK01 Uusimaa,201712,"17, 18 Paper industry; Printing",Exports by countries of destination,115079015.54404145
MK01 Uusimaa,201712,19-22 Chemical industry,Imports by countries of origin,1040385180.8237818
MK01 Uusimaa,201712,19-22 Chemical industry,Exports by countries of destination,515896981.4727587
MK01 Uusimaa,201712,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,115748210.08007538
MK01 Uusimaa,201712,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,57396196.42016016
MK01 Uusimaa,201712,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,302592699.01083374
MK01 Uusimaa,201712,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,150046985.39802167
MK01 Uusimaa,201712,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,1985493641.073952
MK01 Uusimaa,201712,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,984548987.2821479
MK01 Uusimaa,201712,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,663083587.1670069
MK01 Uusimaa,201712,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,328804011.61877847
MK01 Uusimaa,201712,"29, 30 Manufacture of transport equipment",Imports by countries of origin,15991845.920343332
MK01 Uusimaa,201712,"29, 30 Manufacture of transport equipment",Exports by countries of destination,7929894.802951799
MK01 Uusimaa,201712,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,237132100.80075365
MK01 Uusimaa,201712,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,117586964.2016015
MK01 Uusimaa,201712,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,1099343070.6023972
MK01 Uusimaa,201712,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,545132497.252316
MK01 Uusimaa,201712,F Construction (41-43),Imports by countries of origin,2404075391.2178783
MK01 Uusimaa,201712,F Construction (41-43),Exports by countries of destination,1192111595.2268803
MK01 Uusimaa,201712,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,4169632982.6765056
