Time,Area,Industry,Direction,Trade value
201512,MK04 Satakunta,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,40965941.715499274
201512,MK04 Satakunta,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,113632123.33346443
201512,MK04 Satakunta,N Administrative and support service activities (77-82),Imports by countries of origin,54933761.35603885
201512,MK04 Satakunta,N Administrative and support service activities (77-82),Exports by countries of destination,152376332.2452511
201512,MK04 Satakunta,O Public administration and defence; compulsory social security (84),Imports by countries of origin,115848645.14099187
201512,MK04 Satakunta,O Public administration and defence; compulsory social security (84),Exports by countries of destination,321343217.83930475
201512,MK04 Satakunta,P Education (85),Imports by countries of origin,63739302.709718026
201512,MK04 Satakunta,P Education (85),Exports by countries of destination,176801313.5643214
201512,MK04 Satakunta,Q Human health and social work activities (86-88),Imports by countries of origin,194149132.81157824
201512,MK04 Satakunta,Q Human health and social work activities (86-88),Exports by countries of destination,538534628.5444607
201512,MK04 Satakunta,"R, S Other service activities (90-96)",Imports by countries of origin,49059444.6847839
201512,MK04 Satakunta,"R, S Other service activities (90-96)",Exports by countries of destination,136082038.7776773
201512,MK04 Satakunta,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,6871170.409407323
201512,MK04 Satakunta,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,19059385.692374248
201512,MK05 Kanta-Häme,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,33455252.81388766
201512,MK05 Kanta-Häme,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,59728283.76329806
201512,MK05 Kanta-Häme,B Mining and quarrying (05-09),Imports by countries of origin,968594.4647911888
201512,MK05 Kanta-Häme,B Mining and quarrying (05-09),Exports by countries of destination,1729249.674675682
201512,MK05 Kanta-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,10431762.385801103
201512,MK05 Kanta-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,18624018.996257093
201512,MK05 Kanta-Häme,F Construction (41-43),Imports by countries of origin,54280033.806898214
201512,MK05 Kanta-Häme,F Construction (41-43),Exports by countries of destination,96907151.7688252
201512,MK05 Kanta-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,91590292.5906548
201512,MK05 Kanta-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,163517849.23733246
201512,MK05 Kanta-Häme,H Transportation and storage (49-53),Imports by countries of origin,34065467.32670611
201512,MK05 Kanta-Häme,H Transportation and storage (49-53),Exports by countries of destination,60817711.05834373
201512,MK05 Kanta-Häme,I Accommodation and food service activities (55-56),Imports by countries of origin,20941012.3287855
201512,MK05 Kanta-Häme,I Accommodation and food service activities (55-56),Exports by countries of destination,37386377.96648824
201512,MK05 Kanta-Häme,J Information and communication (58-63),Imports by countries of origin,13996190.016232679
201512,MK05 Kanta-Häme,J Information and communication (58-63),Exports by countries of destination,24987657.799063604
201512,MK05 Kanta-Häme,K Financial and insurance activities (64-66),Imports by countries of origin,7719697.884385775
201512,MK05 Kanta-Häme,K Financial and insurance activities (64-66),Exports by countries of destination,13782119.907165186
201512,MK05 Kanta-Häme,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,30685072.64458486
201512,MK05 Kanta-Häme,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,54782629.6937256
201512,MK05 Kanta-Häme,N Administrative and support service activities (77-82),Imports by countries of origin,34549764.5591017
201512,MK05 Kanta-Häme,N Administrative and support service activities (77-82),Exports by countries of destination,61682335.895681575
201512,MK05 Kanta-Häme,O Public administration and defence; compulsory social security (84),Imports by countries of origin,71627560.6713084
201512,MK05 Kanta-Häme,O Public administration and defence; compulsory social security (84),Exports by countries of destination,127878013.44226667
201512,MK05 Kanta-Häme,P Education (85),Imports by countries of origin,42201660.8309521
201512,MK05 Kanta-Häme,P Education (85),Exports by countries of destination,75343408.32561946
201512,MK05 Kanta-Häme,Q Human health and social work activities (86-88),Imports by countries of origin,112676594.08915898
201512,MK05 Kanta-Häme,Q Human health and social work activities (86-88),Exports by countries of destination,201163614.65502205
201512,MK05 Kanta-Häme,"R, S Other service activities (90-96)",Imports by countries of origin,32961269.636844154
201512,MK05 Kanta-Häme,"R, S Other service activities (90-96)",Exports by countries of destination,58846366.42921346
201512,MK05 Kanta-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,3361022.7928254246
201512,MK05 Kanta-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,6000496.371124615
201512,MK06 Pirkanmaa,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,97249573.11812496
201512,MK06 Pirkanmaa,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,128096066.3958588
201512,MK06 Pirkanmaa,B Mining and quarrying (05-09),Imports by countries of origin,3733270.7239916604
201512,MK06 Pirkanmaa,B Mining and quarrying (05-09),Exports by countries of destination,4917423.071392624
201512,MK06 Pirkanmaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,23407465.48997052
201512,MK06 Pirkanmaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,30832055.68337048
201512,MK06 Pirkanmaa,F Construction (41-43),Imports by countries of origin,240334625.9616076
201512,MK06 Pirkanmaa,F Construction (41-43),Exports by countries of destination,316566121.7556978
201512,MK06 Pirkanmaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,352886350.56438273
201512,MK06 Pirkanmaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,464818013.5164282
201512,MK06 Pirkanmaa,H Transportation and storage (49-53),Imports by countries of origin,150154135.81134516
201512,MK06 Pirkanmaa,H Transportation and storage (49-53),Exports by countries of destination,197781373.57106906
201512,MK06 Pirkanmaa,I Accommodation and food service activities (55-56),Imports by countries of origin,99648518.94456825
201512,MK06 Pirkanmaa,I Accommodation and food service activities (55-56),Exports by countries of destination,131255931.4113164
201512,MK06 Pirkanmaa,J Information and communication (58-63),Imports by countries of origin,141608778.48874828
201512,MK06 Pirkanmaa,J Information and communication (58-63),Exports by countries of destination,186525523.04263425
201512,MK06 Pirkanmaa,K Financial and insurance activities (64-66),Imports by countries of origin,37517241.53425839
201512,MK06 Pirkanmaa,K Financial and insurance activities (64-66),Exports by countries of destination,49417297.253576815
201512,MK06 Pirkanmaa,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,187770741.96563375
201512,MK06 Pirkanmaa,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,247329552.80753466
201512,MK06 Pirkanmaa,N Administrative and support service activities (77-82),Imports by countries of origin,194612705.8019987
201512,MK06 Pirkanmaa,N Administrative and support service activities (77-82),Exports by countries of destination,256341712.20073333
201512,MK06 Pirkanmaa,O Public administration and defence; compulsory social security (84),Imports by countries of origin,153277023.86943704
201512,MK06 Pirkanmaa,O Public administration and defence; compulsory social security (84),Exports by countries of destination,201894807.31900206
201512,MK06 Pirkanmaa,P Education (85),Imports by countries of origin,216231608.13142568
201512,MK06 Pirkanmaa,P Education (85),Exports by countries of destination,284817892.1921058
201512,MK06 Pirkanmaa,Q Human health and social work activities (86-88),Imports by countries of origin,530777410.3098713
201512,MK06 Pirkanmaa,Q Human health and social work activities (86-88),Exports by countries of destination,699134157.7395931
201512,MK06 Pirkanmaa,"R, S Other service activities (90-96)",Imports by countries of origin,141381659.35725072
201512,MK06 Pirkanmaa,"R, S Other service activities (90-96)",Exports by countries of destination,186226364.2246028
201512,MK06 Pirkanmaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,14280115.392911065
201512,MK06 Pirkanmaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,18809610.683729958
201512,MK07 Päijät-Häme,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,46200950.191934034
201512,MK07 Päijät-Häme,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,70952952.46670774
