Business_ID,business_line_code
1828900-9,64990
0606736-1,47594
0660269-4,03210
0714482-4,47719
0783703-0,86901
1832763-4,45191
0795627-5,47764
0805013-3,85593
1830949-5,41200
0832633-9,41200
0850544-1,46901
0853637-9,43320
1829950-6,70220
1062863-5,68201
1060849-0,41200
1062412-4,82191
1104786-7,25620
1551832-0,95110
1039912-3,47990
1550811-4,70220
1062991-0,41200
1070693-9,25990
1071659-8,52291
1093992-7,68209
1107581-7,52100
1885840-0,25620
1452428-6,62010
1455585-9,72193
1484983-0,41200
1545535-8,64200
1560530-1,59200
1595954-8,46739
1604225-6,86909
1025641-3,41200
1014156-0,49410
0999883-1,70220
0993504-8,71123
1469309-8,70220
1469198-1,68201
1469080-7,62020
1469052-4,46491
1467977-1,70220
1467929-6,70220
1467547-1,46901
0549516-1,01491
0718928-0,68201
1469382-1,41200
1512528-7,52299
1549786-5,46360
1035121-8,96011
0968292-5,66190
1544354-1,45201
1543939-0,85520
1543852-3,74909
0642184-2,93120
1856341-8,93120
0688826-6,64990
0726899-0,85530
1562344-6,71121
1562330-7,46692
0736165-0,59140
0807362-6,69201
1561421-6,31090
1561165-6,46390
0860301-7,68201
0864350-2,00000
0881422-8,47430
0897995-4,62010
0907068-9,68209
0676665-6,68201
1563529-5,81210
1720948-4,28410
1563609-5,62010
1835745-4,68209
1542490-6,70220
0967972-6,68209
0964460-3,00000
0951038-1,45112
0916367-4,41200
0152386-6,68209
1566446-7,45201
0152489-3,68209
0152535-1,68209
1565523-7,68310
1565310-0,56102
0353553-7,68209
1564936-3,70220
1469320-7,62030
2045704-0,35120
1469376-8,16240
1492588-0,69102
1866202-9,46190
1489912-5,46431
2004661-2,70220
2361205-0,88999
1511933-8,53200
1066626-0,01491
1472176-5,74901
0906825-5,68209
1466084-3,43210
1465740-9,52230
2411819-3,01491
0585942-0,17212
0821575-1,74201
1465397-7,70220
1492836-0,23410
0874086-3,47764
1464825-4,41200
1495326-7,70220
1504536-7,81100
1504293-2,62010
1504238-5,41200
1503992-8,68209
1503918-6,85599
1503808-7,59200
1501158-9,70220
1501138-6,64200
1066342-2,01491
2184544-0,70220
2383051-7,80200
2452393-0,87301
1495887-7,81210
0498186-2,49410
1495393-7,68209
1027254-4,10110
1470046-2,43330
1466569-5,73111
1467137-4,61200
1472126-3,74909
1471749-1,52100
1471464-5,96021
1471187-4,73111
2273612-3,35111
2288073-1,41200
2337557-7,68209
1470284-7,71126
1470277-5,70220
1470252-1,86909
1470205-4,47990
1470060-6,69201
1470052-6,64990
2216834-9,69102
1466694-6,81100
1466106-1,46434
1594080-4,46750
0346874-1,18120
1463874-2,45321
2198219-7,90020
1463162-0,70220
2289785-9,66120
1462975-8,66120
1462832-5,68209
2484248-0,01491
0310431-5,68209
1462407-6,70220
0755503-3,35301
1763761-4,01491
2323692-1,90010
0179109-4,47430
0179115-8,49320
1461565-5,70220
0697432-4,46130
1970137-6,46442
1505936-3,41200
1102560-9,68310
0808069-0,77390
0842623-3,25610
0851692-5,68201
0856428-1,64990
0903376-5,46390
0940756-0,62020
2014477-3,43210
0955380-8,46411
1102093-9,66190
1101408-8,74101
1100888-4,45201
1092250-0,96022
1098082-3,46190
1097869-4,41200
1470269-5,14130
1094735-3,70220
1094725-7,46140
1644926-7,68209
1094468-9,47783
1761673-3,56101
1794233-6,49410
1093854-5,47789
1093595-0,69201
1797304-4,49410
1832163-8,68209
1093170-6,49320
1870873-6,49410
1948411-3,68209
1987628-0,49410
1995388-0,62020
1015225-1,68209
1025869-7,43220
1054944-3,41200
2259220-3,49320
1082543-6,88999
1082338-5,62020
1081825-2,58110
1081763-9,45201
1081673-2,43320
2278077-3,86909
1083999-3,70220
1081089-1,66190
1080332-5,69101
2327684-3,68209
1078635-0,82990
1078576-1,41200
1078218-1,74102
1078023-1,68209
1077332-2,45111
2272284-8,49410
1083409-2,55109
1099004-4,47622
2254046-2,68209
1098821-9,86909
1064486-2,46412
1098661-9,46692
1067438-3,41200
1098441-0,62020
1098321-5,62010
1067899-0,01491
1073026-9,25610
1011661-3,46901
1092131-3,59110
2021882-4,68209
1091490-6,79110
1083710-3,41200
2250856-9,56101
1083664-5,13990
1095060-8,41200
1583959-7,68209
1575225-6,68209
1639953-8,25990
1516087-5,71127
1515878-3,74909
1870108-3,47529
1515567-0,70220
1515558-2,93190
1515382-7,68209
1514603-7,46340
1514599-0,41200
1517761-8,59120
1461238-2,73111
1528527-2,71126
2238656-5,46382
2030032-6,43120
1541380-1,70220
1516292-6,33200
1517041-6,47641
1540387-3,43999
1045608-7,68209
2312451-6,96021
2330945-7,47299
2340420-0,23130
1523809-7,70220
1522739-8,43210
2476296-6,33129
1522050-8,56102
2493265-4,68320
0152347-9,68209
0218188-8,49410
0290793-3,32120
0818286-5,43999
1528244-2,68209
0945594-1,68209
2078119-0,66300
2090992-4,62010
1096410-2,66190
1532866-6,71110
1531761-7,46432
1531269-9,82300
1530488-3,43220
2170219-1,41200
1460789-0,56101
0643644-6,81300
1459750-6,73111
1097028-9,02400
1096934-1,86230
1541607-6,43292
1543895-3,46140
1555861-3,69201
1096528-7,64200
1096526-0,74201
2207389-2,69101
2202458-0,47785
2097683-6,62020
1533729-8,46150
1538725-2,47299
1538301-6,68209
2106088-9,43999
1537714-2,64990
1537109-0,68209
2270222-2,49320
1536081-8,86909
1535114-5,46190
1534947-5,68100
1534940-8,18200
2187298-3,52299
1534278-3,73119
1504897-1,68320
1061065-4,46901
2436483-7,74101
2423728-0,56101
0992123-6,69102
2426559-9,46699
0991378-9,70220
2429424-2,74909
0990976-3,71129
0990973-9,81100
2439126-1,56290
1080598-8,85530
2439144-8,10200
0990510-5,85599
0990501-7,59110
0992741-9,78200
1732862-7,62010
2416538-7,68209
0996313-7,46390
0992737-1,68320
0992749-4,62020
0995063-5,46140
0993519-5,41200
1003801-0,41200
1003780-0,58190
1003034-2,80100
2416852-9,68209
0994318-7,46739
2416859-6,66300
2416862-5,43220
0994084-0,49410
0993920-9,46491
2416882-8,41200
2416917-7,47711
2417230-9,88101
0993877-5,63110
2420239-5,62020
1002923-7,63910
1002903-4,45112
1002795-2,70220
0997511-1,74102
0997335-1,47785
0997173-5,71129
2411168-8,27400
2411828-1,62010
0997016-9,59110
0998920-6,81100
1075525-5,74109
0626505-0,82300
1015924-2,47301
1029453-2,46412
1029445-2,74909
1029411-0,46140
1071099-7,47430
0997490-1,85599
2409090-1,52100
1002380-4,74909
2403008-7,56102
2397110-9,41200
1002094-5,70220
2399555-7,62020
1001340-3,64990
2399839-5,47764
1000922-8,74909
2400718-6,78200
0999615-8,58190
0999573-7,73111
0996083-3,41200
0999514-7,86901
0998885-2,68320
0998600-5,46521
2401736-8,45112
2401865-1,41200
1010989-4,70220
1008644-2,33129
2359076-0,41200
1008594-1,43210
1008471-1,85510
1008455-1,46421
1008446-3,70220
1008445-5,96022
1007965-6,62010
1007245-4,10890
2367765-5,86220
2368805-5,70220
2374740-6,87901
2376846-9,88999
1005694-8,25610
1005633-1,46731
1008559-7,68310
2361234-1,86909
1005371-2,66190
0715716-6,43120
1901293-3,41200
1060585-5,68209
1945842-5,46901
1060003-4,70220
1059583-7,59110
1059215-0,46901
1059075-3,90010
1058798-4,68100
1058549-5,47783
1058300-0,25990
0948908-4,35301
1062323-6,43999
1033402-0,47540
0712110-4,41200
1005539-8,85593
1005303-4,62010
2358055-4,52213
1011457-0,56102
2340627-3,43220
1011226-8,73111
2341443-3,68209
2391572-1,47799
1010965-9,41200
1010849-6,46692
1010231-8,46901
1010197-2,73112
2352868-4,87202
2357636-0,26600
1009239-1,46650
1009179-4,95110
1011367-4,69201
2334205-4,43220
2382563-8,96021
1012186-9,32999
1004849-7,96021
1004836-6,70220
2387642-7,47912
1004401-5,70220
1003944-3,74909
1008633-8,46130
1008642-6,62020
1008643-4,70220
2038280-0,63110
2325658-6,88101
1012424-2,68320
1028872-2,41200
1740659-2,68209
1961029-8,62010
1021556-6,90030
1020785-7,68209
1925269-7,71121
1018121-2,63110
1020441-0,68209
1019939-1,18130
1959511-2,03120
1961684-1,63110
1028143-2,46422
1964825-3,73111
1969882-4,43120
1019452-3,62020
1984614-5,81100
1019239-2,28240
1018753-4,70220
2004276-9,70220
1022201-0,47919
1903595-9,68209
1876337-2,46650
1874424-3,74901
2280382-4,87101
1015150-7,77110
1015106-4,74101
2323181-3,74901
0595933-3,62030
1016097-2,93110
0912318-9,46650
1017829-1,47622
2041124-5,47719
1760012-5,41200
1781706-8,56101
1024192-4,70220
1802098-2,62010
1847395-7,62020
1869762-7,68202
2016766-8,41200
1018200-4,95110
1957371-4,43120
1477880-9,73111
1477273-0,49320
0949435-0,43210
1054497-6,49410
2045709-1,35301
1475557-8,16100
1475442-8,94999
0178439-6,68209
0359476-4,01491
0497619-0,68202
0961067-3,68209
1484855-5,41200
2340309-9,82990
1485573-9,62020
2225920-8,79900
1567883-4,43291
0498857-0,69201
2485587-1,41200
1787396-7,68100
1478147-7,46909
0708753-2,62020
0398294-3,14110
1621449-2,25110
1483360-1,69201
2270039-0,01620
2345506-7,46499
2402629-9,43120
1482208-0,56101
1481643-0,70220
1480171-4,70220
0177824-4,36000
0755386-3,25990
1792266-9,35301
2260541-4,77210
2269064-7,79900
1015629-5,47592
2263118-8,68320
1006550-2,85420
0982585-0,43991
0972607-8,68100
0723725-4,46699
0732070-1,00000
0734397-0,56101
0735472-5,71110
0752911-8,63110
0760645-1,74909
0764941-9,46390
0783722-5,47641
0804799-7,49320
1032022-7,88101
0806273-2,49410
0834619-6,00000
1031895-2,81220
0991792-3,78300
1025553-3,70220
0835165-7,41200
1583757-5,32120
1027590-5,70220
1081694-3,86909
1439135-6,47630
1465760-1,74201
1027325-6,64200
1511108-8,62010
1026826-2,41200
1559161-6,47785
1561654-5,62010
1026243-4,43120
1026198-4,73111
1026155-4,18130
1026016-4,70220
1025956-9,62010
1571215-8,25620
1025305-2,43341
0835691-7,47292
1015732-7,82300
2116262-3,82300
1016916-8,70220
2144133-1,47764
2173566-3,41200
1016644-2,70210
2194049-9,68209
2211900-2,52291
2225674-4,47911
2225739-2,58110
2228554-5,28990
2076050-9,46733
1016216-9,71126
1016095-6,70220
1016048-9,94999
2238859-5,87901
2250898-0,87301
1017009-7,46510
1017231-6,73111
0862177-6,56103
2092943-1,08920
0872386-0,41200
0881540-7,43220
1030751-6,46692
1030746-0,71126
0888274-9,71124
0922999-5,73119
0931954-4,45112
0934157-3,71126
0946834-7,47591
0948714-2,35140
0968302-0,47789
1031718-3,43210
1623396-8,49410
1025223-6,74909
1729880-0,71202
2008395-8,43330
1106223-1,70220
1990066-6,41200
0749497-1,00000
