Region,Information,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MK02 Southwest Finland,Pensioner households (TE),62196.0,64367.0,66792.0,69091.0,71119.0,72890.0,74447.0,76074.0,77351.0,78740.0,80455.0,82193.0
MK02 Southwest Finland,Households living in owner-occupied dwellings (TE),150772.0,151520.0,152134.0,153787.0,153765.0,153776.0,153960.0,154209.0,154411.0,154516.0,155665.0,155778.0
MK02 Southwest Finland,Households living in rented dwellings (TE),67744.0,68527.0,69576.0,70188.0,72854.0,74363.0,75924.0,78478.0,80875.0,83072.0,86292.0,89582.0
MK02 Southwest Finland,Households living in other dwellings (TE),6752.0,6847.0,7067.0,6119.0,4965.0,5038.0,4892.0,4560.0,4655.0,4889.0,3726.0,3224.0
MK02 Southwest Finland,"Households, total (TR)",225268.0,226894.0,228777.0,230094.0,231584.0,233177.0,234776.0,237247.0,239941.0,242477.0,245683.0,248584.0
MK02 Southwest Finland,Average income of households (TR),35076.0,36416.0,36929.0,36993.0,37281.0,37568.0,38060.0,38894.0,39887.0,40372.0,40278.0,42110.0
MK02 Southwest Finland,Median income of households (TR),27982.0,28764.0,29737.0,29865.0,30045.0,30260.0,30561.0,30986.0,31347.0,31914.0,31967.0,32722.0
MK02 Southwest Finland,Households belonging to the lowest income category (TR),60428.0,61404.0,61925.0,62933.0,63121.0,62929.0,63594.0,63403.0,64452.0,65091.0,66481.0,67611.0
MK02 Southwest Finland,Households belonging to the middle income category (TR),126704.0,127636.0,128066.0,129451.0,130750.0,131906.0,132893.0,135024.0,136978.0,138491.0,139845.0,141372.0
MK02 Southwest Finland,Households belonging to the highest income category (TR),38136.0,37854.0,38786.0,37710.0,37713.0,38342.0,38289.0,38820.0,38511.0,38895.0,39357.0,39601.0
MK02 Southwest Finland,Accumulated purchasing power of households (TR),7901593156.0,8262526825.0,8448540880.0,8511855168.0,8633570783.0,8759913571.0,8935572796.0,9227383270.0,9570628614.0,9789390249.0,9895577314.0,10467799227.0
MK02 Southwest Finland,Free-time residences (RA),48276.0,48588.0,48970.0,49173.0,49417.0,49433.0,49364.0,49704.0,50036.0,50109.0,50182.0,50281.0
