"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"201812","B Mining and quarrying products","Imports by countries of origin",2146326207,10.6,12.5,100.0,8579446661,19.2,12.9,100.0
"201812","B Mining and quarrying products","Exports by countries of destination",154843579,11.8,0.9,100.0,631640216,15.0,1.0,100.0
"201812","C Industrial products","Imports by countries of origin",13191267345,4.9,76.6,100.0,50913498875,4.8,76.5,100.0
"201812","C Industrial products","Exports by countries of destination",15655279244,7.3,94.7,100.0,60353771111,6.6,94.8,100.0
"201812","C 16-18 Forest industry products","Imports by countries of origin",370388083,6.6,2.2,100.0,1528622266,12.4,2.3,100.0
"201812","C 16-18 Forest industry products","Exports by countries of destination",3356436944,9.1,20.3,100.0,13094390587,9.8,20.6,100.0
"201812","C 19-22 Chemical industry products","Imports by countries of origin",2955239682,3.6,17.2,100.0,11592718442,5.9,17.4,100.0
"201812","C 19-22 Chemical industry products","Exports by countries of destination",3106848026,6.7,18.8,100.0,12328190957,7.5,19.4,100.0
"201812","C 24-25 Metals and metal products","Imports by countries of origin",1460942840,-0.8,8.5,100.0,6523662240,5.6,9.8,100.0
"201812","C 24-25 Metals and metal products","Exports by countries of destination",2588640363,19.5,15.7,100.0,9884071604,11.6,15.5,100.0
"201812","C 26-27 Electrical and electronics products","Imports by countries of origin",2633750858,9.1,15.3,100.0,9564419945,7.1,14.4,100.0
"201812","C 26-27 Electrical and electronics products","Exports by countries of destination",2022699705,6.3,12.2,100.0,7416654197,4.3,11.6,100.0
"201812","C 28 Machinery and equipment","Imports by countries of origin",1466366732,10.2,8.5,100.0,5728128781,8.0,8.6,100.0
"201812","C 28 Machinery and equipment","Exports by countries of destination",2238798349,6.7,13.5,100.0,8219149039,5.4,12.9,100.0
"201812","C 29-30 Vehicles","Imports by countries of origin",2024533803,3.5,11.8,100.0,7236585812,-1.0,10.9,100.0
"201812","C 29-30 Vehicles","Exports by countries of destination",1270281733,-10.7,7.7,100.0,5340181303,-1.8,8.4,100.0
"201812","D Electricity, gas, heat, cooling","Imports by countries of origin",286975481,70.0,1.7,100.0,1024369851,42.6,1.5,100.0
"201812","D Electricity, gas, heat, cooling","Exports by countries of destination",52225357,216.3,0.3,100.0,121663247,120.4,0.2,100.0
"201812","ZZ Other products","Imports by countries of origin",6307933653,8.0,36.6,100.0,24411158658,8.8,36.7,100.0
"201812","ZZ Other products","Exports by countries of destination",1952183624,6.3,11.8,100.0,7399408840,4.0,11.6,100.0
"201812","X Unspecified","Imports by countries of origin",827722460,1.9,4.8,100.0,3091919622,-4.6,4.6,100.0
"201812","X Unspecified","Exports by countries of destination",397362815,1.5,2.4,100.0,1457257713,8.0,2.3,100.0
"201809","TOTAL In total","Imports by countries of origin",16350990437,6.3,100.0,100.0,49366140493,6.7,100.0,100.0
"201809","TOTAL In total","Exports by countries of destination",15305808798,5.4,100.0,100.0,47146157783,6.4,100.0,100.0
"201809","A Agricultural, forestry and fishery products","Imports by countries of origin",458873837,20.1,2.8,100.0,1454040027,12.0,2.9,100.0
"201809","A Agricultural, forestry and fishery products","Exports by countries of destination",174466156,-16.7,1.1,100.0,546970741,-11.8,1.2,100.0
"201809","B Mining and quarrying products","Imports by countries of origin",2236069936,35.7,13.7,100.0,6433120454,22.3,13.0,100.0
"201809","B Mining and quarrying products","Exports by countries of destination",151316692,-6.1,1.0,100.0,476796637,16.1,1.0,100.0
"201809","C Industrial products","Imports by countries of origin",12341801107,1.8,75.5,100.0,37722231530,4.8,76.4,100.0
"201809","C Industrial products","Exports by countries of destination",14490917305,5.5,94.7,100.0,44698491867,6.4,94.8,100.0
"201809","C 16-18 Forest industry products","Imports by countries of origin",393547864,15.8,2.4,100.0,1158234183,14.4,2.3,100.0
"201809","C 16-18 Forest industry products","Exports by countries of destination",3276546364,11.2,21.4,100.0,9737953643,10.1,20.7,100.0
"201809","C 19-22 Chemical industry products","Imports by countries of origin",2937352293,7.7,18.0,100.0,8637478760,6.7,17.5,100.0
"201809","C 19-22 Chemical industry products","Exports by countries of destination",3075438233,8.8,20.1,100.0,9221342931,7.7,19.6,100.0
"201809","C 24-25 Metals and metal products","Imports by countries of origin",1595698199,11.0,9.8,100.0,5062719400,7.6,10.3,100.0
"201809","C 24-25 Metals and metal products","Exports by countries of destination",2449987595,11.0,16.0,100.0,7295431241,9.0,15.5,100.0
"201809","C 26-27 Electrical and electronics products","Imports by countries of origin",2325406061,4.1,14.2,100.0,6930669087,6.4,14.0,100.0
"201809","C 26-27 Electrical and electronics products","Exports by countries of destination",1790961528,6.0,11.7,100.0,5393954492,3.6,11.4,100.0
"201809","C 28 Machinery and equipment","Imports by countries of origin",1356687702,5.8,8.3,100.0,4261762049,7.2,8.6,100.0
"201809","C 28 Machinery and equipment","Exports by countries of destination",1896091050,0,12.4,100.0,5980350690,4.9,12.7,100.0
"201809","C 29-30 Vehicles","Imports by countries of origin",1509485416,-20.2,9.2,100.0,5212052009,-2.6,10.6,100.0
"201809","C 29-30 Vehicles","Exports by countries of destination",1006590710,-16.8,6.6,100.0,4069899570,1.4,8.6,100.0
"201809","D Electricity, gas, heat, cooling","Imports by countries of origin",285805478,39.2,1.7,100.0,737394370,34.2,1.5,100.0
"201809","D Electricity, gas, heat, cooling","Exports by countries of destination",26935300,58.0,0.2,100.0,69437890,79.5,0.1,100.0
"201809","ZZ Other products","Imports by countries of origin",6232812902,14.1,38.1,100.0,18103225005,9.1,36.7,100.0
"201809","ZZ Other products","Exports by countries of destination",1810193318,3.4,11.8,100.0,5447225216,3.2,11.6,100.0
"201809","X Unspecified","Imports by countries of origin",778125881,-1.0,4.8,100.0,2264197162,-6.7,4.6,100.0
"201809","X Unspecified","Exports by countries of destination",359433361,14.4,2.3,100.0,1059894898,10.6,2.2,100.0
"201806","TOTAL In total","Imports by countries of origin",16668875428,7.0,100.0,100.0,33015150056,6.9,100.0,100.0
"201806","TOTAL In total","Exports by countries of destination",16408237749,7.2,100.0,100.0,31840348985,7.0,100.0,100.0
"201806","A Agricultural, forestry and fishery products","Imports by countries of origin",499926143,10.5,3.0,100.0,995166190,8.7,3.0,100.0
"201806","A Agricultural, forestry and fishery products","Exports by countries of destination",197213130,-9.2,1.2,100.0,372504585,-9.2,1.2,100.0
"201806","B Mining and quarrying products","Imports by countries of origin",2003262205,15.4,12.0,100.0,4197050518,16.2,12.7,100.0
"201806","B Mining and quarrying products","Exports by countries of destination",161752812,23.8,1.0,100.0,325479945,30.5,1.0,100.0
"201806","C Industrial products","Imports by countries of origin",12870091237,6.3,77.2,100.0,25380430423,6.3,76.9,100.0
"201806","C Industrial products","Exports by countries of destination",15534967890,6.9,94.7,100.0,30207574562,6.9,94.9,100.0
"201806","C 16-18 Forest industry products","Imports by countries of origin",394192737,15.9,2.4,100.0,764686319,13.7,2.3,100.0
"201806","C 16-18 Forest industry products","Exports by countries of destination",3265215628,11.2,19.9,100.0,6461407279,9.6,20.3,100.0
"201806","C 19-22 Chemical industry products","Imports by countries of origin",2818118435,8.8,16.9,100.0,5700126467,6.1,17.3,100.0
"201806","C 19-22 Chemical industry products","Exports by countries of destination",3084935384,6.6,18.8,100.0,6145904698,7.2,19.3,100.0
"201806","C 24-25 Metals and metal products","Imports by countries of origin",1799178018,18.7,10.8,100.0,3467021201,6.1,10.5,100.0
"201806","C 24-25 Metals and metal products","Exports by countries of destination",2406004640,10.0,14.7,100.0,4845443646,8.0,15.2,100.0
"201806","C 26-27 Electrical and electronics products","Imports by countries of origin",2327432680,7.0,14.0,100.0,4605263026,7.6,13.9,100.0
"201806","C 26-27 Electrical and electronics products","Exports by countries of destination",1874230715,7.9,11.4,100.0,3602992964,2.4,11.3,100.0
"201806","C 28 Machinery and equipment","Imports by countries of origin",1532594402,9.0,9.2,100.0,2905074347,8.0,8.8,100.0
"201806","C 28 Machinery and equipment","Exports by countries of destination",2116401520,7.2,12.9,100.0,4084259640,7.4,12.8,100.0
"201806","C 29-30 Vehicles","Imports by countries of origin",1858138703,-6.8,11.1,100.0,3702566593,7.0,11.2,100.0
"201806","C 29-30 Vehicles","Exports by countries of destination",1796713956,2.8,11.0,100.0,3063308860,9.2,9.6,100.0
"201806","D Electricity, gas, heat, cooling","Imports by countries of origin",226042462,37.1,1.4,100.0,451588892,31.2,1.4,100.0
"201806","D Electricity, gas, heat, cooling","Exports by countries of destination",25803135,160.3,0.2,100.0,42502590,96.4,0.1,100.0
"201806","ZZ Other products","Imports by countries of origin",5939220453,7.0,35.6,100.0,11870412103,6.6,36.0,100.0
"201806","ZZ Other products","Exports by countries of destination",1864735906,2.0,11.4,100.0,3637031898,3.1,11.4,100.0
"201806","X Unspecified","Imports by countries of origin",792987860,-9.6,4.8,100.0,1486071281,-9.4,4.5,100.0
"201806","X Unspecified","Exports by countries of destination",387343659,17.8,2.4,100.0,700461537,8.7,2.2,100.0
"201803","TOTAL In total","Imports by countries of origin",16346274628,6.8,100.0,100.0,16346274628,6.8,100.0,100.0
"201803","TOTAL In total","Exports by countries of destination",15432111236,6.7,100.0,100.0,15432111236,6.7,100.0,100.0
"201803","A Agricultural, forestry and fishery products","Imports by countries of origin",495240047,6.9,3.0,100.0,495240047,6.9,3.0,100.0
"201803","A Agricultural, forestry and fishery products","Exports by countries of destination",175291455,-9.3,1.1,100.0,175291455,-9.3,1.1,100.0
"201803","B Mining and quarrying products","Imports by countries of origin",2193788313,17.0,13.4,100.0,2193788313,17.0,13.4,100.0
"201803","B Mining and quarrying products","Exports by countries of destination",163727133,37.8,1.1,100.0,163727133,37.8,1.1,100.0
"201803","C Industrial products","Imports by countries of origin",12510339186,6.4,76.5,100.0,12510339186,6.4,76.5,100.0
"201803","C Industrial products","Exports by countries of destination",14672606672,6.8,95.1,100.0,14672606672,6.8,95.1,100.0
"201803","C 16-18 Forest industry products","Imports by countries of origin",370493582,11.5,2.3,100.0,370493582,11.5,2.3,100.0
"201803","C 16-18 Forest industry products","Exports by countries of destination",3196191651,8.0,20.7,100.0,3196191651,8.0,20.7,100.0
"201803","C 19-22 Chemical industry products","Imports by countries of origin",2882008032,3.7,17.6,100.0,2882008032,3.7,17.6,100.0
"201803","C 19-22 Chemical industry products","Exports by countries of destination",3060969314,7.9,19.8,100.0,3060969314,7.9,19.8,100.0
"201803","C 24-25 Metals and metal products","Imports by countries of origin",1667843183,-4.8,10.2,100.0,1667843183,-4.8,10.2,100.0
"201803","C 24-25 Metals and metal products","Exports by countries of destination",2439439006,6.1,15.8,100.0,2439439006,6.1,15.8,100.0
"201803","C 26-27 Electrical and electronics products","Imports by countries of origin",2277830346,8.2,13.9,100.0,2277830346,8.2,13.9,100.0
"201803","C 26-27 Electrical and electronics products","Exports by countries of destination",1728762249,-3.0,11.2,100.0,1728762249,-3.0,11.2,100.0
"201803","C 28 Machinery and equipment","Imports by countries of origin",1372479945,6.9,8.4,100.0,1372479945,6.9,8.4,100.0
"201803","C 28 Machinery and equipment","Exports by countries of destination",1967858120,7.6,12.8,100.0,1967858120,7.6,12.8,100.0
"201803","C 29-30 Vehicles","Imports by countries of origin",1844427890,25.8,11.3,100.0,1844427890,25.8,11.3,100.0
"201803","C 29-30 Vehicles","Exports by countries of destination",1266594904,19.8,8.2,100.0,1266594904,19.8,8.2,100.0
"201803","D Electricity, gas, heat, cooling","Imports by countries of origin",225546430,25.8,1.4,100.0,225546430,25.8,1.4,100.0
"201803","D Electricity, gas, heat, cooling","Exports by countries of destination",16699455,42.4,0.1,100.0,16699455,42.4,0.1,100.0
"201803","ZZ Other products","Imports by countries of origin",5931191650,6.2,36.3,100.0,5931191650,6.2,36.3,100.0
"201803","ZZ Other products","Exports by countries of destination",1772295992,4.2,11.5,100.0,1772295992,4.2,11.5,100.0
"201803","X Unspecified","Imports by countries of origin",693083421,-9.2,4.2,100.0,693083421,-9.2,4.2,100.0
"201803","X Unspecified","Exports by countries of destination",313117878,-0.7,2.0,100.0,313117878,-0.7,2.0,100.0
"201712","TOTAL In total","Imports by countries of origin",16212934354,10.7,100.0,100.0,62469070567,13.6,100.0,100.0
"201712","TOTAL In total","Exports by countries of destination",15414542532,13.3,100.0,100.0,59711294557,15.1,100.0,100.0
"201712","A Agricultural, forestry and fishery products","Imports by countries of origin",473120036,4.4,2.9,100.0,1771120349,4.7,2.8,100.0
"201712","A Agricultural, forestry and fishery products","Exports by countries of destination",187982025,20.7,1.2,100.0,807821324,32.8,1.4,100.0
"201712","B Mining and quarrying products","Imports by countries of origin",1940228112,14.0,12.0,100.0,7199404031,27.1,11.5,100.0
"201712","B Mining and quarrying products","Exports by countries of destination",138535674,45.9,0.9,100.0,549096401,70.8,0.9,100.0
"201712","C Industrial products","Imports by countries of origin",12574180026,11.9,77.6,100.0,48560514619,12.8,77.7,100.0
"201712","C Industrial products","Exports by countries of destination",14591824417,13.4,94.7,100.0,56592002175,14.7,94.8,100.0
"201712","C 16-18 Forest industry products","Imports by countries of origin",347441464,11.5,2.1,100.0,1359711804,5.5,2.2,100.0
"201712","C 16-18 Forest industry products","Exports by countries of destination",3076108633,7.5,20.0,100.0,11920542189,5.0,20.0,100.0
"201712","C 19-22 Chemical industry products","Imports by countries of origin",2853222724,9.6,17.6,100.0,10951730977,9.0,17.5,100.0
"201712","C 19-22 Chemical industry products","Exports by countries of destination",2910550937,6.6,18.9,100.0,11468892470,12.2,19.2,100.0
"201712","C 24-25 Metals and metal products","Imports by countries of origin",1472747174,26.2,9.1,100.0,6176950590,38.8,9.9,100.0
"201712","C 24-25 Metals and metal products","Exports by countries of destination",2165722731,13.9,14.0,100.0,8859221142,18.5,14.8,100.0
"201712","C 26-27 Electrical and electronics products","Imports by countries of origin",2413436848,4.8,14.9,100.0,8929088125,10.8,14.3,100.0
"201712","C 26-27 Electrical and electronics products","Exports by countries of destination",1903631555,9.6,12.3,100.0,7111374961,12.4,11.9,100.0
"201712","C 28 Machinery and equipment","Imports by countries of origin",1331224992,6.6,8.2,100.0,5304915352,3.9,8.5,100.0
"201712","C 28 Machinery and equipment","Exports by countries of destination",2099131468,16.4,13.6,100.0,7798312076,12.2,13.1,100.0
"201712","C 29-30 Vehicles","Imports by countries of origin",1955243025,26.0,12.1,100.0,7306437156,22.8,11.7,100.0
"201712","C 29-30 Vehicles","Exports by countries of destination",1422783832,77.7,9.2,100.0,5436699284,65.7,9.1,100.0
"201712","D Electricity, gas, heat, cooling","Imports by countries of origin",168813489,-6.3,1.0,100.0,718314716,4.1,1.1,100.0
"201712","D Electricity, gas, heat, cooling","Exports by countries of destination",16513848,100.7,0.1,100.0,55198081,-38.2,0.1,100.0
"201712","ZZ Other products","Imports by countries of origin",5839618127,6.8,36.0,100.0,22440236563,11.7,35.9,100.0
"201712","ZZ Other products","Exports by countries of destination",1836613376,3.9,11.9,100.0,7116252435,13.5,11.9,100.0
"201712","X Unspecified","Imports by countries of origin",812519306,-4.1,5.0,100.0,3239675435,5.9,5.2,100.0
"201712","X Unspecified","Exports by countries of destination",391392760,3.9,2.5,100.0,1349599086,9.0,2.3,100.0
"201709","TOTAL In total","Imports by countries of origin",15377611822,14.8,100.0,100.0,46256136213,14.6,100.0,100.0
"201709","TOTAL In total","Exports by countries of destination",14526008302,16.4,100.0,100.0,44296752025,15.7,100.0,100.0
"201709","A Agricultural, forestry and fishery products","Imports by countries of origin",382129959,9.3,2.5,100.0,1298000313,4.8,2.8,100.0
"201709","A Agricultural, forestry and fishery products","Exports by countries of destination",209456642,37.2,1.4,100.0,619839299,37.0,1.4,100.0
"201709","B Mining and quarrying products","Imports by countries of origin",1647938786,13.7,10.7,100.0,5259175919,32.8,11.4,100.0
"201709","B Mining and quarrying products","Exports by countries of destination",161115793,110.4,1.1,100.0,410560727,81.2,0.9,100.0
"201709","C Industrial products","Imports by countries of origin",12119098549,16.4,78.8,100.0,35986334593,13.1,77.8,100.0
"201709","C Industrial products","Exports by countries of destination",13733479940,15.7,94.5,100.0,42000177758,15.2,94.8,100.0
"201709","C 16-18 Forest industry products","Imports by countries of origin",339792473,7.3,2.2,100.0,1012270340,3.6,2.2,100.0
"201709","C 16-18 Forest industry products","Exports by countries of destination",2946617214,7.7,20.3,100.0,8844433556,4.1,20.0,100.0
"201709","C 19-22 Chemical industry products","Imports by countries of origin",2727874554,13.4,17.7,100.0,8098508253,8.7,17.5,100.0
"201709","C 19-22 Chemical industry products","Exports by countries of destination",2827315509,8.7,19.5,100.0,8558341533,14.2,19.3,100.0
"201709","C 24-25 Metals and metal products","Imports by countries of origin",1437617685,30.2,9.3,100.0,4704203416,43.2,10.2,100.0
"201709","C 24-25 Metals and metal products","Exports by countries of destination",2206417686,16.2,15.2,100.0,6693498411,20.1,15.1,100.0
"201709","C 26-27 Electrical and electronics products","Imports by countries of origin",2234050247,14.8,14.5,100.0,6515651277,13.2,14.1,100.0
"201709","C 26-27 Electrical and electronics products","Exports by countries of destination",1689892946,10.0,11.6,100.0,5207743406,13.5,11.8,100.0
"201709","C 28 Machinery and equipment","Imports by countries of origin",1282827705,6.3,8.3,100.0,3973690360,3.0,8.6,100.0
"201709","C 28 Machinery and equipment","Exports by countries of destination",1895225289,20.3,13.0,100.0,5699180608,10.8,12.9,100.0
"201709","C 29-30 Vehicles","Imports by countries of origin",1891960175,43.5,12.3,100.0,5351194131,21.7,11.6,100.0
"201709","C 29-30 Vehicles","Exports by countries of destination",1209589144,93.8,8.3,100.0,4013915452,61.9,9.1,100.0
"201709","D Electricity, gas, heat, cooling","Imports by countries of origin",205303500,28.2,1.3,100.0,549501227,7.8,1.2,100.0
"201709","D Electricity, gas, heat, cooling","Exports by countries of destination",17046040,40.1,0.1,100.0,38684233,-52.3,0.1,100.0
"201709","ZZ Other products","Imports by countries of origin",5463488983,7.2,35.5,100.0,16600618436,13.5,35.9,100.0
"201709","ZZ Other products","Exports by countries of destination",1750950514,16.4,12.1,100.0,5279639059,17.3,11.9,100.0
"201709","X Unspecified","Imports by countries of origin",786238561,1.6,5.1,100.0,2427156129,9.8,5.2,100.0
"201709","X Unspecified","Exports by countries of destination",314076813,10.2,2.2,100.0,958206326,11.2,2.2,100.0
"201706","TOTAL In total","Imports by countries of origin",15575188122,12.1,100.0,100.0,30878524391,14.5,100.0,100.0
"201706","TOTAL In total","Exports by countries of destination",15305036114,12.1,100.0,100.0,29770743723,15.4,100.0,100.0
"201706","A Agricultural, forestry and fishery products","Imports by countries of origin",452492987,8.1,2.9,100.0,915870354,3.0,3.0,100.0
"201706","A Agricultural, forestry and fishery products","Exports by countries of destination",217191266,8.6,1.4,100.0,410382657,36.9,1.4,100.0
"201706","B Mining and quarrying products","Imports by countries of origin",1736352707,29.1,11.1,100.0,3611237133,43.8,11.7,100.0
"201706","B Mining and quarrying products","Exports by countries of destination",130625292,60.4,0.9,100.0,249444934,66.3,0.8,100.0
"201706","C Industrial products","Imports by countries of origin",12108567441,10.2,77.7,100.0,23867236044,11.6,77.3,100.0
"201706","C Industrial products","Exports by countries of destination",14529094124,12.1,94.9,100.0,28266697818,15.0,94.9,100.0
"201706","C 16-18 Forest industry products","Imports by countries of origin",340250481,0.6,2.2,100.0,672477867,1.7,2.2,100.0
"201706","C 16-18 Forest industry products","Exports by countries of destination",2937253481,1.1,19.2,100.0,5897816342,2.4,19.8,100.0
"201706","C 19-22 Chemical industry products","Imports by countries of origin",2590617534,1.2,16.6,100.0,5370633699,6.5,17.4,100.0
"201706","C 19-22 Chemical industry products","Exports by countries of destination",2895037062,8.3,18.9,100.0,5731026024,17.1,19.3,100.0
"201706","C 24-25 Metals and metal products","Imports by countries of origin",1515262958,28.6,9.7,100.0,3266585731,49.8,10.6,100.0
"201706","C 24-25 Metals and metal products","Exports by countries of destination",2187459920,16.6,14.3,100.0,4487080725,22.1,15.1,100.0
"201706","C 26-27 Electrical and electronics products","Imports by countries of origin",2176146370,12.7,14.0,100.0,4281601030,12.3,13.9,100.0
"201706","C 26-27 Electrical and electronics products","Exports by countries of destination",1736298004,11.0,11.3,100.0,3517850460,15.3,11.8,100.0
"201706","C 28 Machinery and equipment","Imports by countries of origin",1406532270,-2.0,9.0,100.0,2690862655,1.5,8.7,100.0
"201706","C 28 Machinery and equipment","Exports by countries of destination",1974720980,4.0,12.9,100.0,3803955319,6.6,12.8,100.0
"201706","C 29-30 Vehicles","Imports by countries of origin",1993596176,27.6,12.8,100.0,3459233956,12.3,11.2,100.0
"201706","C 29-30 Vehicles","Exports by countries of destination",1746987096,50.4,11.4,100.0,2804326308,51.1,9.4,100.0
"201706","D Electricity, gas, heat, cooling","Imports by countries of origin",164845370,6.9,1.1,100.0,344197727,-1.6,1.1,100.0
"201706","D Electricity, gas, heat, cooling","Exports by countries of destination",9913700,-67.7,0.1,100.0,21638193,-68.6,0.1,100.0
"201706","ZZ Other products","Imports by countries of origin",5552782333,13.6,35.7,100.0,11137129453,16.8,36.1,100.0
"201706","ZZ Other products","Exports by countries of destination",1827279571,16.1,11.9,100.0,3528688545,17.7,11.9,100.0
"201706","X Unspecified","Imports by countries of origin",877433856,12.2,5.6,100.0,1640917568,14.1,5.3,100.0
"201706","X Unspecified","Exports by countries of destination",328937180,6.1,2.1,100.0,644129513,11.7,2.2,100.0
"201703","TOTAL In total","Imports by countries of origin",15303336269,17.1,100.0,100.0,15303336269,17.1,100.0,100.0
"201703","TOTAL In total","Exports by countries of destination",14465707609,19.1,100.0,100.0,14465707609,19.1,100.0,100.0
"201703","A Agricultural, forestry and fishery products","Imports by countries of origin",463377367,-1.5,3.0,100.0,463377367,-1.5,3.0,100.0
"201703","A Agricultural, forestry and fishery products","Exports by countries of destination",193191391,93.5,1.3,100.0,193191391,93.5,1.3,100.0
"201703","B Mining and quarrying products","Imports by countries of origin",1874884426,60.8,12.3,100.0,1874884426,60.8,12.3,100.0
"201703","B Mining and quarrying products","Exports by countries of destination",118819642,73.4,0.8,100.0,118819642,73.4,0.8,100.0
"201703","C Industrial products","Imports by countries of origin",11758668603,13.0,76.8,100.0,11758668603,13.0,76.8,100.0
"201703","C Industrial products","Exports by countries of destination",13737603694,18.2,95.0,100.0,13737603694,18.2,95.0,100.0
"201703","C 16-18 Forest industry products","Imports by countries of origin",332227386,2.9,2.2,100.0,332227386,2.9,2.2,100.0
"201703","C 16-18 Forest industry products","Exports by countries of destination",2960562861,3.7,20.5,100.0,2960562861,3.7,20.5,100.0
"201703","C 19-22 Chemical industry products","Imports by countries of origin",2780016165,12.0,18.2,100.0,2780016165,12.0,18.2,100.0
"201703","C 19-22 Chemical industry products","Exports by countries of destination",2835988962,27.7,19.6,100.0,2835988962,27.7,19.6,100.0
"201703","C 24-25 Metals and metal products","Imports by countries of origin",1751322773,74.7,11.4,100.0,1751322773,74.7,11.4,100.0
"201703","C 24-25 Metals and metal products","Exports by countries of destination",2299620805,27.9,15.9,100.0,2299620805,27.9,15.9,100.0
"201703","C 26-27 Electrical and electronics products","Imports by countries of origin",2105454660,12.0,13.8,100.0,2105454660,12.0,13.8,100.0
"201703","C 26-27 Electrical and electronics products","Exports by countries of destination",1781552456,19.8,12.3,100.0,1781552456,19.8,12.3,100.0
"201703","C 28 Machinery and equipment","Imports by countries of origin",1284330385,5.5,8.4,100.0,1284330385,5.5,8.4,100.0
"201703","C 28 Machinery and equipment","Exports by countries of destination",1829234339,9.4,12.6,100.0,1829234339,9.4,12.6,100.0
"201703","C 29-30 Vehicles","Imports by countries of origin",1465637780,-3.4,9.6,100.0,1465637780,-3.4,9.6,100.0
"201703","C 29-30 Vehicles","Exports by countries of destination",1057339212,52.4,7.3,100.0,1057339212,52.4,7.3,100.0
"201703","D Electricity, gas, heat, cooling","Imports by countries of origin",179352357,-8.2,1.2,100.0,179352357,-8.2,1.2,100.0
"201703","D Electricity, gas, heat, cooling","Exports by countries of destination",11724493,-69.3,0.1,100.0,11724493,-69.3,0.1,100.0
"201703","ZZ Other products","Imports by countries of origin",5584347120,20.2,36.5,100.0,5584347120,20.2,36.5,100.0
"201703","ZZ Other products","Exports by countries of destination",1701408974,19.6,11.8,100.0,1701408974,19.6,11.8,100.0
"201703","X Unspecified","Imports by countries of origin",763483712,16.5,5.0,100.0,763483712,16.5,5.0,100.0
"201703","X Unspecified","Exports by countries of destination",315192333,18.3,2.2,100.0,315192333,18.3,2.2,100.0
"201612","TOTAL In total","Imports by countries of origin",14650527434,2.6,100.0,100.0,55002765284,0.9,100.0,100.0
"201612","TOTAL In total","Exports by countries of destination",13600990059,-0.9,100.0,100.0,51878143754,-3.7,100.0,100.0
"201612","A Agricultural, forestry and fishery products","Imports by countries of origin",453343189,-2.6,3.1,100.0,1691831117,0.3,3.1,100.0
"201612","A Agricultural, forestry and fishery products","Exports by countries of destination",155789218,18.1,1.1,100.0,608331756,-34.3,1.2,100.0
"201612","B Mining and quarrying products","Imports by countries of origin",1702272234,13.7,11.6,100.0,5662687040,-8.0,10.3,100.0
"201612","B Mining and quarrying products","Exports by countries of destination",94948531,69.9,0.7,100.0,321476839,19.3,0.6,100.0
"201612","C Industrial products","Imports by countries of origin",11240208156,0.5,76.7,100.0,43047246219,2.1,78.3,100.0
"201612","C Industrial products","Exports by countries of destination",12867439745,-1.8,94.6,100.0,49324709360,-3.3,95.1,100.0
"201612","C 16-18 Forest industry products","Imports by countries of origin",311606558,-3.5,2.1,100.0,1289117732,-2.8,2.3,100.0
"201612","C 16-18 Forest industry products","Exports by countries of destination",2860198329,-0.8,21.0,100.0,11357482084,-1.7,21.9,100.0
"201612","C 19-22 Chemical industry products","Imports by countries of origin",2602237606,1.5,17.8,100.0,10049517867,-4.5,18.3,100.0
"201612","C 19-22 Chemical industry products","Exports by countries of destination",2729765603,10.9,20.1,100.0,10223061776,1.2,19.7,100.0
"201612","C 24-25 Metals and metal products","Imports by countries of origin",1166855533,21.2,8.0,100.0,4451437928,9.0,8.1,100.0
"201612","C 24-25 Metals and metal products","Exports by countries of destination",1902113133,1.6,14.0,100.0,7475087858,-5.4,14.4,100.0
"201612","C 26-27 Electrical and electronics products","Imports by countries of origin",2303122743,8.3,15.7,100.0,8060547157,4.7,14.7,100.0
"201612","C 26-27 Electrical and electronics products","Exports by countries of destination",1737070705,1.8,12.8,100.0,6324211767,-3.1,12.2,100.0
"201612","C 28 Machinery and equipment","Imports by countries of origin",1248825801,1.3,8.5,100.0,5107725168,5.3,9.3,100.0
"201612","C 28 Machinery and equipment","Exports by countries of destination",1803503582,-4.8,13.3,100.0,6949456949,-4.7,13.4,100.0
"201612","C 29-30 Vehicles","Imports by countries of origin",1551525219,-19.5,10.6,100.0,5949642181,5.3,10.8,100.0
"201612","C 29-30 Vehicles","Exports by countries of destination",800779417,-41.0,5.9,100.0,3280415295,-18.3,6.3,100.0
"201612","D Electricity, gas, heat, cooling","Imports by countries of origin",180205283,13.8,1.2,100.0,690041413,8.6,1.3,100.0
"201612","D Electricity, gas, heat, cooling","Exports by countries of destination",8227663,-77.3,0.1,100.0,89257342,-39.5,0.2,100.0
"201612","ZZ Other products","Imports by countries of origin",5466353974,6.2,37.3,100.0,20094777251,-1.3,36.5,100.0
"201612","ZZ Other products","Exports by countries of destination",1767559290,14.1,13.0,100.0,6268428025,-3.4,12.1,100.0
"201612","X Unspecified","Imports by countries of origin",847647128,9.4,5.8,100.0,3059101740,4.8,5.6,100.0
"201612","X Unspecified","Exports by countries of destination",376787679,14.8,2.8,100.0,1238425381,-0.5,2.4,100.0
"201609","TOTAL In total","Imports by countries of origin",13394115065,0.1,100.0,100.0,40352237850,0.3,100.0,100.0
"201609","TOTAL In total","Exports by countries of destination",12476204764,-4.4,100.0,100.0,38277153695,-4.7,100.0,100.0
