"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202209","C 24-25 Metals and metal products","Exports by countries of destination",3357586647,20.8,16.3,100.0,10919572649,31.9,18.2,100.0
"202209","C 26-27 Electrical and electronics products","Imports by countries of origin",3151758205,23.8,13.5,100.0,8838526650,21.0,12.7,100.0
"202209","C 26-27 Electrical and electronics products","Exports by countries of destination",2480467279,28.3,12.0,100.0,6761670915,21.1,11.3,100.0
"202209","C 28 Machinery and equipment","Imports by countries of origin",1968313407,28.7,8.4,100.0,5784655272,20.9,8.3,100.0
"202209","C 28 Machinery and equipment","Exports by countries of destination",2315974303,5.1,11.2,100.0,7061057831,7.4,11.8,100.0
"202209","C 29-30 Vehicles","Imports by countries of origin",1766405275,1.0,7.6,100.0,6196540703,9.5,8.9,100.0
"202209","C 29-30 Vehicles","Exports by countries of destination",1076278972,-23.5,5.2,100.0,3514815558,-4.5,5.9,100.0
"202209","D Electricity, gas, heat, cooling","Imports by countries of origin",1039785239,111.7,4.4,100.0,2172944991,108.6,3.1,100.0
"202209","D Electricity, gas, heat, cooling","Exports by countries of destination",332399871,76.9,1.6,100.0,658891182,92.4,1.1,100.0
"202209","ZZ Other products","Imports by countries of origin",8897735575,32.5,38.1,100.0,26139021885,45.4,37.7,100.0
"202209","ZZ Other products","Exports by countries of destination",2829802855,26.0,13.7,100.0,7785494154,22.4,13.0,100.0
"202209","X Unspecified","Imports by countries of origin",1041802402,14.3,4.5,100.0,2987662265,19.3,4.3,100.0
"202209","X Unspecified","Exports by countries of destination",493338301,36.6,2.4,100.0,1333373210,32.0,2.2,100.0
"202206","TOTAL In total","Imports by countries of origin",23840790037,39.1,100.0,100.0,46059997757,38.2,100.0,100.0
"202206","TOTAL In total","Exports by countries of destination",20927864666,27.9,100.0,100.0,39451466661,25.6,100.0,100.0
"202206","A Agricultural, forestry and fishery products","Imports by countries of origin",543483662,11.1,2.3,100.0,1103823464,11.8,2.4,100.0
"202206","A Agricultural, forestry and fishery products","Exports by countries of destination",184397761,-7.9,0.9,100.0,331558368,-11.4,0.8,100.0
"202206","B Mining and quarrying products","Imports by countries of origin",3633917375,182.7,15.2,100.0,6780119106,117.1,14.7,100.0
"202206","B Mining and quarrying products","Exports by countries of destination",357505403,27.5,1.7,100.0,645730353,28.9,1.6,100.0
"202206","C Industrial products","Imports by countries of origin",17395419507,25.4,73.0,100.0,33908330102,28.4,73.6,100.0
"202206","C Industrial products","Exports by countries of destination",19558241305,28.3,93.5,100.0,36922751747,25.4,93.6,100.0
"202206","C 16-18 Forest industry products","Imports by countries of origin",436415597,17.9,1.8,100.0,864691648,23.7,1.9,100.0
"202206","C 16-18 Forest industry products","Exports by countries of destination",3644216297,9.6,17.4,100.0,6761672385,10.6,17.1,100.0
"202206","C 19-22 Chemical industry products","Imports by countries of origin",4469581077,33.4,18.7,100.0,8768212449,42.9,19.0,100.0
"202206","C 19-22 Chemical industry products","Exports by countries of destination",4742593059,91.8,22.7,100.0,8707293225,61.4,22.1,100.0
"202206","C 24-25 Metals and metal products","Imports by countries of origin",2631715610,48.7,11.0,100.0,5252561612,59.3,11.4,100.0
"202206","C 24-25 Metals and metal products","Exports by countries of destination",3930598685,36.4,18.8,100.0,7561986002,37.4,19.2,100.0
"202206","C 26-27 Electrical and electronics products","Imports by countries of origin",2827013185,14.6,11.9,100.0,5686768445,19.4,12.3,100.0
"202206","C 26-27 Electrical and electronics products","Exports by countries of destination",2235972966,17.3,10.7,100.0,4281203636,17.2,10.9,100.0
"202206","C 28 Machinery and equipment","Imports by countries of origin",1972546859,12.9,8.3,100.0,3816341865,17.2,8.3,100.0
"202206","C 28 Machinery and equipment","Exports by countries of destination",2507589922,9.2,12.0,100.0,4745083528,8.5,12.0,100.0
"202206","C 29-30 Vehicles","Imports by countries of origin",2429016720,23.7,10.2,100.0,4430135428,13.3,9.6,100.0
"202206","C 29-30 Vehicles","Exports by countries of destination",1271268390,0.5,6.1,100.0,2438536586,7.3,6.2,100.0
"202206","D Electricity, gas, heat, cooling","Imports by countries of origin",545547899,110.8,2.3,100.0,1133159752,105.7,2.5,100.0
"202206","D Electricity, gas, heat, cooling","Exports by countries of destination",160181936,78.2,0.8,100.0,326491311,111.2,0.8,100.0
"202206","ZZ Other products","Imports by countries of origin",9074500989,65.9,38.1,100.0,17241286310,53.2,37.4,100.0
"202206","ZZ Other products","Exports by countries of destination",2595625347,17.5,12.4,100.0,4955691299,20.5,12.6,100.0
"202206","X Unspecified","Imports by countries of origin",1064345300,20.9,4.5,100.0,1945859863,22.1,4.2,100.0
"202206","X Unspecified","Exports by countries of destination",448558472,23.2,2.1,100.0,840034909,29.5,2.1,100.0
"202203","TOTAL In total","Imports by countries of origin",22219207720,37.3,100.0,100.0,22219207720,37.3,100.0,100.0
"202203","TOTAL In total","Exports by countries of destination",18523601995,23.0,100.0,100.0,18523601995,23.0,100.0,100.0
"202203","A Agricultural, forestry and fishery products","Imports by countries of origin",560339802,12.5,2.5,100.0,560339802,12.5,2.5,100.0
"202203","A Agricultural, forestry and fishery products","Exports by countries of destination",147160607,-15.4,0.8,100.0,147160607,-15.4,0.8,100.0
"202203","B Mining and quarrying products","Imports by countries of origin",3146201731,71.2,14.2,100.0,3146201731,71.2,14.2,100.0
"202203","B Mining and quarrying products","Exports by countries of destination",288224950,30.7,1.6,100.0,288224950,30.7,1.6,100.0
"202203","C Industrial products","Imports by countries of origin",16512910595,31.7,74.3,100.0,16512910595,31.7,74.3,100.0
"202203","C Industrial products","Exports by countries of destination",17364510442,22.3,93.7,100.0,17364510442,22.3,93.7,100.0
"202203","C 16-18 Forest industry products","Imports by countries of origin",428276051,30.3,1.9,100.0,428276051,30.3,1.9,100.0
"202203","C 16-18 Forest industry products","Exports by countries of destination",3117456088,11.7,16.8,100.0,3117456088,11.7,16.8,100.0
"202203","C 19-22 Chemical industry products","Imports by countries of origin",4298631372,54.3,19.3,100.0,4298631372,54.3,19.3,100.0
"202203","C 19-22 Chemical industry products","Exports by countries of destination",3964700166,35.7,21.4,100.0,3964700166,35.7,21.4,100.0
"202203","C 24-25 Metals and metal products","Imports by countries of origin",2620846002,71.6,11.8,100.0,2620846002,71.6,11.8,100.0
"202203","C 24-25 Metals and metal products","Exports by countries of destination",3631387317,38.6,19.6,100.0,3631387317,38.6,19.6,100.0
"202203","C 26-27 Electrical and electronics products","Imports by countries of origin",2859755260,24.7,12.9,100.0,2859755260,24.7,12.9,100.0
"202203","C 26-27 Electrical and electronics products","Exports by countries of destination",2045230670,17.2,11.0,100.0,2045230670,17.2,11.0,100.0
"202203","C 28 Machinery and equipment","Imports by countries of origin",1843795006,22.2,8.3,100.0,1843795006,22.2,8.3,100.0
"202203","C 28 Machinery and equipment","Exports by countries of destination",2237493606,7.7,12.1,100.0,2237493606,7.7,12.1,100.0
"202203","C 29-30 Vehicles","Imports by countries of origin",2001118708,2.8,9.0,100.0,2001118708,2.8,9.0,100.0
"202203","C 29-30 Vehicles","Exports by countries of destination",1167268196,15.8,6.3,100.0,1167268196,15.8,6.3,100.0
"202203","D Electricity, gas, heat, cooling","Imports by countries of origin",587611853,101.2,2.6,100.0,587611853,101.2,2.6,100.0
"202203","D Electricity, gas, heat, cooling","Exports by countries of destination",166309375,157.1,0.9,100.0,166309375,157.1,0.9,100.0
"202203","ZZ Other products","Imports by countries of origin",8166785321,41.1,36.8,100.0,8166785321,41.1,36.8,100.0
"202203","ZZ Other products","Exports by countries of destination",2360065952,24.1,12.7,100.0,2360065952,24.1,12.7,100.0
"202203","X Unspecified","Imports by countries of origin",881514563,23.7,4.0,100.0,881514563,23.7,4.0,100.0
"202203","X Unspecified","Exports by countries of destination",391476437,37.5,2.1,100.0,391476437,37.5,2.1,100.0
"202112","TOTAL In total","Imports by countries of origin",21367183832,37.4,100.0,100.0,72935617330,22.0,100.0,100.0
"202112","TOTAL In total","Exports by countries of destination",20157142167,24.4,100.0,100.0,68908179384,20.0,100.0,100.0
"202112","A Agricultural, forestry and fishery products","Imports by countries of origin",555030740,28.3,2.6,100.0,1982205778,9.2,2.7,100.0
"202112","A Agricultural, forestry and fishery products","Exports by countries of destination",152140231,-2.6,0.8,100.0,752447243,31.1,1.1,100.0
"202112","B Mining and quarrying products","Imports by countries of origin",2750685600,80.3,12.9,100.0,8034806656,43.1,11.0,100.0
"202112","B Mining and quarrying products","Exports by countries of destination",320727931,66.4,1.6,100.0,1051361506,64.9,1.5,100.0
"202112","C Industrial products","Imports by countries of origin",15877507461,29.3,74.3,100.0,56164535572,18.2,77.0,100.0
"202112","C Industrial products","Exports by countries of destination",18812373293,23.3,93.3,100.0,64406172283,18.9,93.5,100.0
"202112","C 16-18 Forest industry products","Imports by countries of origin",419181372,33.7,2.0,100.0,1508314240,11.4,2.1,100.0
"202112","C 16-18 Forest industry products","Exports by countries of destination",3520228101,35.9,17.5,100.0,13037003305,26.9,18.9,100.0
"202112","C 19-22 Chemical industry products","Imports by countries of origin",3575794275,38.2,16.7,100.0,13227009078,26.7,18.1,100.0
