Time,Area,Industry,Employment
201512,MK06 Pirkanmaa,28 Manufacture of machinery and equipment n.e.c.,0.03181393342440147
201512,MK06 Pirkanmaa,"29, 30 Manufacture of transport equipment",0.0061830469480192675
201512,MK06 Pirkanmaa,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.016378783521460924
201512,MK06 Pirkanmaa,"681, 68209, 683 Other real estate activities",0.007153641527068804
201512,MK06 Pirkanmaa,"68201, 68202 Letting and operation of dwellings",0.0018243583291394062
201512,MK06 Pirkanmaa,"A Agriculture, forestry and fishing (01-03)",0.030784923430872097
201512,MK06 Pirkanmaa,B Mining and quarrying (05-09),0.001181788769861241
201512,MK06 Pirkanmaa,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.007409770652095765
201512,MK06 Pirkanmaa,F Construction (41-43),0.07607933711985046
201512,MK06 Pirkanmaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.11170824645912718
201512,MK06 Pirkanmaa,H Transportation and storage (49-53),0.047532173412898115
201512,MK06 Pirkanmaa,I Accommodation and food service activities (55-56),0.031544323819109925
201512,MK06 Pirkanmaa,J Information and communication (58-63),0.04482709037313969
201512,MK06 Pirkanmaa,K Financial and insurance activities (64-66),0.011876303113092242
201512,MK06 Pirkanmaa,"M Professional, scientific and technical activities (69-75)",0.05943993097994104
201512,MK06 Pirkanmaa,N Administrative and support service activities (77-82),0.0616057948091164
201512,MK06 Pirkanmaa,O Public administration and defence; compulsory social security (84),0.04852074196563376
201512,MK06 Pirkanmaa,P Education (85),0.06844938529009993
201512,MK06 Pirkanmaa,Q Human health and social work activities (86-88),0.1680207060176864
201512,MK06 Pirkanmaa,"R, S Other service activities (90-96)",0.04475519447839529
201512,MK06 Pirkanmaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.004520454382054785
201512,MK07 Päijät-Häme,10-12 Food industry etc.,0.020579593384199804
201512,MK07 Päijät-Häme,"13-15 Textile, clothing and leather industry",0.005852803184683191
201512,MK07 Päijät-Häme,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.022795128192976636
201512,MK07 Päijät-Häme,"17, 18 Paper industry; Printing",0.01067484953319748
201512,MK07 Päijät-Häme,19-22 Chemical industry,0.01758210511350173
201512,MK07 Päijät-Häme,23 Manufacture of other non-metallic mineral products,0.005959433202217905
201512,MK07 Päijät-Häme,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.025685986446139997
201512,MK07 Päijät-Häme,"26, 27 Manufacture of electrical and electronic products",0.013340599971565328
201512,MK07 Päijät-Häme,28 Manufacture of machinery and equipment n.e.c.,0.03292497985877447
201512,MK07 Päijät-Häme,"29, 30 Manufacture of transport equipment",0.006018672100848301
201512,MK07 Päijät-Häme,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.03005781716506327
201512,MK07 Päijät-Häme,"681, 68209, 683 Other real estate activities",0.007144211174825838
201512,MK07 Päijät-Häme,"68201, 68202 Letting and operation of dwellings",0.002855314913985119
201512,MK07 Päijät-Häme,"A Agriculture, forestry and fishing (01-03)",0.041810814653333965
201512,MK07 Päijät-Häme,B Mining and quarrying (05-09),0.00030804227287806266
201512,MK07 Päijät-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.012641580967726648
201512,MK07 Päijät-Häme,F Construction (41-43),0.08528031846831904
201512,MK07 Päijät-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.12040898535614426
201512,MK07 Päijät-Häme,H Transportation and storage (49-53),0.05567271693284678
201512,MK07 Päijät-Häme,I Accommodation and food service activities (55-56),0.033019762096583104
201512,MK07 Päijät-Häme,J Information and communication (58-63),0.019394815411591868
201512,MK07 Päijät-Häme,K Financial and insurance activities (64-66),0.011018435145253781
201512,MK07 Päijät-Häme,"M Professional, scientific and technical activities (69-75)",0.04497417184019715
201512,MK07 Päijät-Häme,N Administrative and support service activities (77-82),0.05670347376901568
