Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
00270  Pohjois-Meilahti (Helsinki),2210,0,0,7,0,0,364,65,13,119,566,4,6,221,113,0,220,377,45,90,0,0,0
00280  Ruskeasuo (Helsinki),4726,1,0,30,0,0,1869,106,699,36,124,9,152,301,69,361,244,589,47,88,0,0,1
00290  Meilahden sairaala-alue (Helsinki),11111,0,0,12,0,0,5,251,0,175,15,0,1,156,49,157,1194,9017,56,23,0,0,0
00300  Pikku Huopalahti (Helsinki),2746,0,0,22,0,0,19,72,55,40,8,48,238,997,56,6,105,996,35,49,0,0,0
00310  Kivihaka (Helsinki),531,0,0,5,0,0,3,1,2,10,1,0,9,10,1,0,0,487,1,1,0,0,0
00320  Etelä-Haaga (Helsinki),1960,2,0,24,0,0,241,240,10,133,89,3,69,74,26,117,394,432,27,79,0,0,0
00330  Munkkiniemi (Helsinki),2303,4,0,20,0,0,48,365,29,176,494,42,33,200,16,0,229,453,34,160,0,0,0
00340  Kuusisaari - Lehtisaari (Helsinki),384,2,0,0,0,0,17,23,7,11,127,9,7,37,9,0,0,100,15,8,0,12,0
00350  Munkkivuori - Niemenmäki (Helsinki),1626,0,0,6,0,5,29,406,42,105,102,24,69,124,137,0,144,352,51,30,0,0,0
00360  Pajamäki (Helsinki),70,0,0,1,0,0,11,20,2,0,0,0,0,22,1,0,4,1,2,6,0,0,0
00370  Reimarla (Helsinki),4221,0,0,1356,1,0,404,548,173,136,721,16,12,206,78,0,74,391,63,42,0,0,0
00380  Pitäjänmäen yritysalue (Helsinki),18750,0,0,3793,0,232,575,1744,264,226,4552,241,304,949,3398,740,407,634,538,153,0,0,0
00390  Konala (Helsinki),5503,0,0,384,0,0,797,1592,975,83,356,13,25,232,667,1,39,158,80,101,0,0,0
00400  Pohjois-Haaga (Helsinki),2118,1,0,63,2,0,154,92,95,52,73,4,27,216,94,0,468,634,39,103,0,0,1
00410  Malminkartano (Helsinki),1511,1,0,9,0,0,508,98,36,37,20,5,48,115,72,0,266,232,21,43,0,0,0
00420  Kannelmäki (Helsinki),2287,1,0,37,0,0,146,613,64,162,42,1,6,115,32,0,121,743,54,150,0,0,0
00430  Maununneva - Kuninkaantammi (Helsinki),758,3,1,86,0,77,61,58,74,5,41,2,10,57,6,0,108,133,28,8,0,0,0
00440  Lassila (Helsinki),4806,0,0,36,0,0,1219,342,18,44,472,0,55,388,235,0,30,1164,769,34,0,0,0
00500  Sörnäinen - Harju (Helsinki),9052,2,0,26,0,0,107,466,287,478,649,3097,21,797,161,1246,173,631,233,677,1,0,0
00510  Alppila - Vallila (Helsinki),16574,2,0,1040,28,0,355,519,188,441,1860,4929,276,1510,720,2160,1052,767,356,371,0,0,0
00520  Itä- ja Keski-Pasila (Helsinki),15130,8,0,186,0,1,139,819,433,456,2207,136,294,1352,2075,3814,821,822,256,1311,0,0,0
00530  Kallio (Helsinki),14879,6,0,150,237,0,179,628,125,862,1493,283,561,1418,404,3288,762,2413,509,1548,0,13,0
00540  Kalasatama - Sompasaari (Helsinki),502,0,0,25,0,0,19,30,11,33,52,1,8,47,16,0,40,104,91,25,0,0,0
00550  Vallila - Hermanni (Helsinki),2110,1,0,67,0,0,47,268,205,155,61,2,13,128,47,0,521,257,150,188,0,0,0
00560  Toukola - Kumpula - Vanhakaupunki (Helsinki),5901,5,0,555,0,15,427,413,93,177,294,49,18,1024,379,249,1700,292,72,139,0,0,0
00570  Kulosaari (Helsinki),1287,1,0,12,0,0,10,58,43,101,292,247,15,50,28,0,174,107,116,9,0,24,0
00580  Kalasatama - Kyläsaari (Helsinki),10783,1,0,354,2,0,179,2860,323,397,1221,178,82,856,496,1615,186,1276,108,649,0,0,0
00590  Kruunuvuorenranta (Helsinki),113,1,0,1,0,0,8,15,8,0,8,2,2,27,8,0,0,29,3,1,0,0,0
00600  Koskela (Helsinki),1207,0,0,3,0,0,12,55,3,56,14,2,69,47,31,0,74,823,7,11,0,0,0
00610  Käpylä (Helsinki),2881,1,0,138,0,0,80,115,96,85,75,11,152,508,246,211,255,690,171,47,0,0,0
00620  Metsälä - Etelä-Oulunkylä (Helsinki),7492,1,0,309,318,0,3500,641,142,131,767,9,69,184,608,0,90,631,26,66,0,0,0
00630  Maunula (Helsinki),1499,0,0,10,0,0,99,91,23,60,12,0,9,46,32,0,184,671,231,30,1,0,0
00640  Oulunkylä - Patola (Helsinki),1998,0,0,28,0,13,92,244,225,67,18,48,39,118,32,31,172,704,81,86,0,0,0
00650  Veräjämäki (Helsinki),396,9,0,3,0,0,51,5,7,10,17,1,2,57,12,0,1,205,7,9,0,0,0
00660  Länsi-Pakila (Helsinki),1126,1,0,8,0,0,87,176,109,35,16,13,41,51,11,1,97,417,20,43,0,0,0
00670  Paloheinä (Helsinki),599,0,0,1,0,0,22,50,50,12,14,5,4,75,7,0,37,251,47,23,1,0,0
00680  Itä-Pakila (Helsinki),926,2,0,31,0,0,341,102,32,8,11,1,2,38,18,0,160,132,35,13,0,0,0
00690  Torpparinmäki (Helsinki),304,3,0,25,0,0,10,55,3,25,5,2,2,20,35,0,61,53,2,3,0,0,0
00700  Malmi (Helsinki),9981,14,0,399,0,100,985,1555,366,363,242,105,109,1081,623,530,660,2292,130,427,0,0,0
00710  Pihlajamäki - Viikinmäki (Helsinki),1134,1,0,16,0,86,81,219,38,56,11,2,11,35,25,0,168,317,24,44,0,0,0
00720  Pukinmäki (Helsinki),1642,0,0,22,0,2,273,197,96,134,32,9,24,212,101,0,144,348,14,34,0,0,0
00730  Tapanila (Helsinki),1278,25,0,42,0,0,155,114,96,55,42,3,7,83,127,0,171,205,125,28,0,0,0
00740  Siltamäki (Helsinki),1299,2,0,31,0,0,202,290,60,27,20,2,7,51,32,0,136,382,34,23,0,0,0
00750  Tapulikaupunki (Helsinki),2540,3,0,134,0,5,482,665,116,60,34,3,21,83,348,0,66,463,26,30,0,0,1
00760  Puistola - Heikinlaakso (Helsinki),1441,1,0,167,0,6,461,217,163,28,11,4,6,61,47,0,125,71,49,24,0,0,0
00770  Jakomäki - Alppikylä (Helsinki),2222,2,0,99,0,86,651,323,401,36,7,11,4,49,85,0,67,355,35,11,0,0,0
00780  Tapaninvainio (Helsinki),661,2,0,1,0,0,90,64,64,18,13,2,6,40,13,0,31,302,3,12,0,0,0
00790  Viikki (Helsinki),4920,7,0,71,0,0,147,239,15,92,40,3,19,1705,40,585,1520,310,101,26,0,0,0
00800  Länsi-Herttoniemi (Helsinki),883,1,0,1,0,0,26,47,43,35,40,13,19,64,10,0,126,371,26,61,0,0,0
00810  Herttoniemenranta (Helsinki),3027,4,0,21,0,0,279,597,106,144,129,29,125,205,728,0,102,408,63,87,0,0,0
00820  Roihuvuori (Helsinki),1060,1,0,2,0,0,50,43,12,61,11,1,13,36,15,0,416,328,17,54,0,0,0
00830  Tammisalo (Helsinki),309,1,0,0,0,0,14,5,15,19,15,3,7,27,2,0,1,190,8,2,0,0,0
00840  Yliskylä (Helsinki),897,1,0,15,0,0,46,128,47,48,13,4,23,49,19,0,155,284,52,13,0,0,0
00850  Jollas (Helsinki),282,3,0,1,0,0,29,35,16,7,13,10,6,36,11,0,46,65,1,3,0,0,0
00860  Santahamina (Helsinki),763,0,0,11,0,0,0,0,0,44,0,0,94,2,0,584,16,1,0,11,0,0,0
00870  Gunillanmäki - Hevossalmi (Helsinki),348,0,0,5,0,0,25,23,16,16,9,2,4,21,12,0,32,168,5,10,0,0,0
00880  Keski-Herttoniemi - Roihupelto (Helsinki),7427,0,0,1666,0,1,845,2453,345,181,70,120,60,713,494,48,120,136,104,71,0,0,0
00890  Östersundom (Helsinki),407,2,0,7,0,0,50,45,29,6,2,5,11,25,31,0,101,80,8,5,0,0,0
00900  Puotinharju (Helsinki),986,0,0,16,0,0,27,278,26,39,6,2,0,15,17,0,214,114,167,65,0,0,0
00910  Puotila (Helsinki),637,5,0,12,0,0,21,50,92,25,2,0,13,16,19,0,83,273,19,7,0,0,0
00920  Myllypuro (Helsinki),2380,0,0,5,0,0,154,102,122,96,15,4,13,59,62,0,562,984,164,38,0,0,0
00930  Itäkeskus - Marjaniemi (Helsinki),3674,2,0,20,0,0,34,1450,78,358,62,98,36,121,360,46,35,746,113,115,0,0,0
00940  Kontula - Vesala - Kivikko (Helsinki),3571,0,0,137,0,25,299,513,378,219,21,8,21,55,176,0,293,1175,100,151,0,0,0
00950  Vartioharju (Helsinki),1259,4,0,45,0,11,206,256,101,37,23,7,14,80,54,71,57,233,23,37,0,0,0
00960  Pohjois-Vuosaari (Helsinki),361,5,0,16,0,0,48,32,28,17,13,2,9,25,12,0,1,126,13,14,0,0,0
00970  Mellunmäki (Helsinki),666,3,0,7,0,1,60,102,60,32,9,3,6,13,12,0,98,202,10,48,0,0,0
00980  Etelä-Vuosaari (Helsinki),5333,2,0,926,52,0,114,380,1731,157,35,9,47,143,141,65,391,839,172,129,0,0,0
00990  Aurinkolahti (Helsinki),955,1,0,6,0,0,99,84,84,90,34,2,3,61,18,25,102,292,13,40,0,0,1
01120  Västerskog (Sipoo),184,6,0,8,0,0,38,29,13,14,7,1,1,16,14,0,11,20,5,1,0,0,0
01150  Söderkulla (Sipoo),1542,20,0,478,0,4,153,195,97,33,8,11,8,83,35,13,127,231,29,17,0,0,0
01180  Kalkkiranta (Sipoo),40,2,6,4,0,0,8,1,0,0,0,0,0,7,4,0,7,0,0,1,0,0,0
01190  Box (Sipoo),133,11,0,2,0,0,20,14,35,5,0,0,0,11,11,0,10,6,8,0,0,0,0
01200  Hakunila (Vantaa),2116,2,0,12,85,0,135,879,93,57,10,0,10,59,134,20,193,296,53,78,0,0,0
01230  Vaarala (Vantaa),2026,6,0,1378,0,0,125,155,53,205,1,1,2,17,25,0,4,28,16,10,0,0,0
01260  Itä-Hakkila (Vantaa),1993,6,0,335,0,162,357,152,342,13,17,5,2,46,178,162,33,145,17,21,0,0,0
01280  Länsimäki (Vantaa),944,1,0,261,0,0,102,39,46,38,8,1,4,23,99,0,95,172,17,38,0,0,0
01300  Tikkurila (Vantaa),13004,157,86,647,207,1,806,1170,622,464,120,260,259,952,520,1445,1020,3191,492,585,0,0,0
01340  Leinelä (Vantaa),109,0,0,0,0,0,15,11,20,0,4,0,0,5,4,0,0,39,0,11,0,0,0
01350  Hiekkaharju (Vantaa),1058,0,0,3,0,0,111,67,57,47,11,7,3,47,45,0,191,377,49,43,0,0,0
01360  Koivukylä-Havukoski (Vantaa),1592,5,0,18,0,0,98,217,121,20,13,0,12,39,112,62,143,640,40,52,0,0,0
01370  Jokiniemi (Vantaa),1533,4,0,17,0,0,52,22,22,17,122,0,0,21,20,671,371,105,44,44,0,0,1
01380  Kuusikko-Hakkila (Vantaa),4871,0,0,972,0,207,322,1077,1918,40,4,0,0,39,151,2,51,29,48,11,0,0,0
01390  Ruskeasanta-Ilola (Vantaa),979,2,0,69,0,1,357,112,97,53,12,8,2,45,30,0,33,118,11,29,0,0,0
01400  Rekola (Vantaa),2584,0,0,17,0,0,296,243,54,41,13,4,10,41,31,0,127,1644,10,53,0,0,0
01420  Päiväkumpu (Vantaa),298,1,0,3,0,3,61,27,32,4,4,0,1,22,23,0,24,85,3,5,0,0,0
01450  Korso (Vantaa),3109,11,0,73,0,11,702,530,301,80,46,47,37,90,86,45,271,594,84,101,0,0,0
01480  Mikkola (Vantaa),899,1,0,61,0,0,253,141,38,21,2,0,1,23,42,0,122,179,4,11,0,0,0
01490  Nikinmäki (Vantaa),467,2,0,6,0,19,191,39,43,11,2,3,5,40,28,0,5,59,2,12,0,0,0
01510  Kirkonkylä-Veromäki (Vantaa),17992,15,27,3217,63,46,1636,7233,657,925,580,84,119,1231,1169,0,137,339,114,400,0,0,0
01520  Tammisto (Vantaa),792,0,0,174,0,5,52,84,34,24,15,3,0,29,10,0,133,194,17,18,0,0,0
01530  Veromiehenkylä (Vantaa),20551,0,1,1357,12,36,553,1826,11769,1515,469,221,65,369,1245,795,150,112,45,11,0,0,0
01600  Myyrmäki (Vantaa),4370,3,0,31,0,0,362,502,61,193,43,55,49,389,119,141,554,1416,249,203,0,0,0
01610  Kaivoksela (Vantaa),2845,0,0,40,0,95,923,712,170,62,43,0,22,250,276,0,63,116,42,30,0,0,1
01620  Martinlaakso (Vantaa),5459,2,0,2105,58,0,526,630,146,189,142,13,14,865,119,47,244,287,32,40,0,0,0
01630  Hämeenkylä (Vantaa),261,2,0,0,0,0,18,69,45,33,6,0,3,2,8,0,12,31,0,32,0,0,0
01640  Hämevaara (Vantaa),990,2,0,32,0,0,82,548,61,15,13,2,4,92,100,0,1,28,3,7,0,0,0
01650  Vapaala (Vantaa),1441,1,0,117,0,0,736,82,45,16,15,0,10,226,22,0,44,104,3,20,0,0,0
01660  Varisto (Vantaa),279,0,0,1,0,0,19,42,6,17,2,0,0,7,104,0,2,74,0,5,0,0,0
01670  Vantaanlaakso (Vantaa),1726,0,0,1178,0,0,199,102,14,40,30,1,1,36,6,62,6,42,3,6,0,0,0
01680  Askisto (Vantaa),204,0,0,2,0,5,32,42,28,3,2,0,1,8,3,0,30,41,2,5,0,0,0
01690  Ylästö (Vantaa),475,4,0,3,0,0,43,37,31,15,11,1,0,58,44,0,71,143,4,10,0,0,0
01700  Kivistö (Vantaa),876,11,0,8,0,0,134,118,109,61,13,2,13,24,35,0,76,237,6,29,0,0,0
01710  Pähkinärinne (Vantaa),349,1,0,0,0,0,20,52,50,4,3,0,0,11,14,0,68,104,7,15,0,0,0
01720  Petikko (Vantaa),3652,0,2,563,0,6,360,2013,163,29,15,19,4,289,77,0,24,1,64,23,0,0,0
01730  Vantaanpuisto (Vantaa),1698,5,0,147,0,0,632,561,109,6,28,4,21,63,30,0,33,39,10,10,0,0,0
01740  Tuupakan teollisuusalue (Vantaa),4804,0,0,292,0,35,659,1615,1187,115,2,65,32,177,550,0,39,25,11,0,0,0,0
01750  Keimola (Vantaa),354,3,0,22,0,0,84,41,169,4,2,1,3,4,4,0,1,2,9,5,0,0,0
01760  Seutula (Vantaa),650,14,0,9,0,38,128,30,63,6,5,1,3,12,12,3,10,294,15,7,0,0,0
01770  Martinlaakson teollisuusalue (Vantaa),819,0,0,92,0,0,113,106,9,4,249,8,2,0,0,0,68,168,0,0,0,0,0
01800  Klaukkala Keskus (Nurmijärvi),2314,9,0,301,0,2,299,534,105,53,15,39,23,102,71,0,262,366,54,79,0,0,0
01810  Luhtajoki (Nurmijärvi),95,2,0,8,0,0,23,7,34,0,0,1,0,3,0,0,14,1,1,1,0,0,0
01820  Haikala (Nurmijärvi),270,1,1,5,0,0,53,12,19,0,1,1,8,22,15,0,58,70,1,3,0,0,0
01830  Lepsämä (Nurmijärvi),295,14,0,27,0,0,89,30,54,2,4,1,1,8,13,0,24,24,2,2,0,0,0
01840  Klaukkala (Nurmijärvi),463,3,0,19,0,11,90,55,24,8,6,1,11,27,21,0,55,120,2,10,0,0,0
01860  Perttula (Nurmijärvi),189,37,2,2,0,0,48,12,11,6,3,1,0,19,7,2,17,15,4,3,0,0,0
01900  Nurmijärvi Keskus (Nurmijärvi),4380,29,0,330,36,32,558,744,362,169,18,13,36,135,285,227,205,1008,73,120,0,0,0
01940  Palojoki (Nurmijärvi),103,5,0,4,0,0,21,16,7,0,1,0,0,2,3,0,12,26,2,4,0,0,0
02100  Tapiola (Espoo),6060,0,0,625,5,0,23,868,31,406,351,1362,172,103,35,159,653,692,363,212,0,0,0
02110  Otsolahti (Espoo),185,1,0,7,0,0,7,2,30,8,19,2,2,38,1,0,1,54,8,5,0,0,0
02120  Länsikorkee-Suvikumpu (Espoo),163,1,0,0,0,0,9,20,8,6,5,1,0,34,5,0,33,26,9,6,0,0,0
02130  Pohjois-Tapiola (Espoo),3621,1,0,155,0,4,132,695,38,80,1092,19,22,526,350,0,163,310,5,29,0,0,0
02140  Laajalahti (Espoo),306,1,0,4,0,0,33,14,22,7,20,7,1,40,6,0,40,97,11,3,0,0,0
02150  Otaniemi (Espoo),21609,2,0,1500,1241,12,504,1740,4,327,6552,64,111,3579,468,219,4849,256,62,119,0,0,0
02160  Westend (Espoo),542,3,0,5,0,0,22,24,0,3,69,4,5,149,50,0,50,132,15,11,0,0,0
02170  Haukilahti (Espoo),882,1,0,82,0,2,84,126,20,41,25,10,37,117,15,0,96,161,47,18,0,0,0
02180  Mankkaa (Espoo),1822,2,0,96,0,0,65,290,707,70,105,5,14,81,27,0,161,161,19,19,0,0,0
02200  Niittykumpu (Espoo),8006,0,0,1930,3,5,238,2425,39,214,632,651,87,651,318,34,110,339,254,76,0,0,0
02210  Olari (Espoo),1734,4,0,28,0,0,101,236,34,114,46,5,49,129,100,0,265,496,71,56,0,0,0
02230  Matinkylä (Espoo),5336,3,0,784,0,0,91,1426,125,433,84,133,222,315,215,67,285,879,148,126,0,0,0
02240  Friisilä (Espoo),1278,0,0,129,0,0,141,292,5,58,85,4,10,184,71,0,28,239,18,14,0,0,0
02250  Henttaa (Espoo),344,0,0,1,0,0,35,39,13,17,10,3,0,34,12,0,58,85,20,17,0,0,0
02260  Kaitaa (Espoo),341,2,0,1,0,0,26,19,19,13,3,1,4,23,14,0,101,97,3,15,0,0,0
02270  Finnoo-Eestinmalmi (Espoo),2848,6,0,369,5,24,205,1096,261,98,49,19,55,212,142,0,102,152,19,34,0,0,0
02280  Malminmäki-Eestinlaakso (Espoo),368,0,0,3,0,0,13,47,15,26,5,3,3,69,38,0,48,71,24,3,0,0,0
02290  Puolarmetsän sairaala (Espoo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02300  Nöykkiönpuro (Espoo),353,0,0,2,0,0,18,78,50,36,18,6,3,26,10,0,48,35,17,6,0,0,0
02320  Espoonlahti (Espoo),2124,4,0,19,0,3,140,258,73,130,38,6,38,100,98,4,100,874,116,123,0,0,0
02330  Saunalahti-Kattilalaakso (Espoo),2044,4,0,216,0,0,142,476,89,62,149,3,10,148,89,0,253,331,34,38,0,0,0
02340  Latokaski (Espoo),312,2,0,5,0,0,8,27,20,16,22,0,1,31,18,0,60,87,7,8,0,0,0
02360  Soukka (Espoo),1027,3,0,11,8,0,72,83,7,37,18,6,7,66,113,37,242,192,77,48,0,0,0
02380  Suvisaaristo (Espoo),71,0,0,4,0,0,13,11,8,1,1,2,3,10,0,0,6,5,2,5,0,0,0
02390  Sarvvik (Kirkkonummi),58,11,0,0,0,0,9,6,4,0,0,0,0,5,4,0,2,6,10,1,0,0,0
02400  Kirkkonummi Keskus (Kirkkonummi),3465,8,0,67,0,19,211,498,162,168,34,47,50,174,256,266,429,879,63,134,0,0,0
02410  Gesterby (Kirkkonummi),71,0,0,0,0,0,12,0,3,3,0,0,2,2,2,0,0,36,7,4,0,0,0
02420  Jorvas (Kirkkonummi),1402,8,0,38,0,0,121,291,30,58,23,5,4,594,128,0,11,65,20,6,0,0,0
02430  Masala (Kirkkonummi),1002,0,0,171,0,0,75,207,33,34,3,0,11,120,14,7,100,180,20,27,0,0,0
02440  Luoma (Kirkkonummi),58,3,0,1,0,0,12,12,2,0,1,1,6,10,3,0,0,0,4,3,0,0,0
02450  Sundsberg (Kirkkonummi),151,1,0,2,0,0,1,7,4,2,14,0,0,16,2,1,39,59,1,2,0,0,0
02460  Kantvik (Kirkkonummi),414,0,0,284,0,0,11,10,20,2,2,0,1,5,0,4,29,42,2,2,0,0,0
02470  Upinniemi (Kirkkonummi),667,1,0,25,0,0,0,0,0,18,0,0,17,1,0,583,7,0,2,13,0,0,0
02480  Porkkala (Kirkkonummi),549,19,0,96,0,3,115,24,28,12,9,5,1,23,19,37,15,102,22,19,0,0,0
02490  Pikkala (Siuntio),410,0,0,387,0,0,6,10,2,0,0,0,0,2,1,0,1,0,0,1,0,0,0
02510  Oitmäki (Kirkkonummi),45,4,0,1,0,0,19,1,3,0,1,0,0,6,0,0,7,0,3,0,0,0,0
02520  Lapinkylä (Kirkkonummi),78,4,0,0,0,0,23,17,17,0,2,0,0,3,4,0,0,1,4,3,0,0,0
02540  Kylmälä (Kirkkonummi),106,7,0,14,0,0,11,7,4,0,0,1,0,18,7,1,19,1,11,5,0,0,0
02550  Evitskog (Kirkkonummi),96,5,0,9,0,0,26,5,5,1,2,0,1,4,4,0,1,21,10,2,0,0,0
02570  Siuntio Kirkonkylä (Siuntio),192,29,0,5,0,0,23,8,17,25,1,0,2,10,5,0,2,35,9,21,0,0,0
02580  Siuntio Asemanseutu (Siuntio),734,30,0,18,0,2,60,96,26,37,4,1,6,47,24,60,105,183,31,4,0,0,0
02590  Lappers (Siuntio),45,8,0,0,0,0,2,8,1,0,0,0,1,0,1,0,0,21,1,2,0,0,0
02600  Etelä-Leppävaara (Espoo),14455,2,0,610,315,0,1087,2993,108,494,2953,345,54,3356,394,71,364,915,193,201,0,0,0
02610  Kilo (Espoo),4184,0,0,2755,0,0,218,317,33,65,107,3,10,94,58,0,185,300,10,29,0,0,0
02620  Karakallio (Espoo),752,0,0,5,0,0,72,72,33,36,14,8,5,45,70,0,135,192,23,42,0,0,0
02630  Nihtisilta (Espoo),4586,1,0,318,0,4,218,895,348,143,394,124,149,399,401,617,110,238,163,64,0,0,0
02650  Pohjois-Leppävaara (Espoo),3116,1,0,77,0,0,186,219,52,165,100,3,59,151,154,43,799,796,212,99,0,0,0
02660  Lintuvaara (Espoo),663,3,0,4,0,3,67,46,33,48,17,5,3,32,23,0,164,198,6,10,0,0,1
02680  Uusmäki (Espoo),155,0,0,0,0,0,25,12,0,6,2,0,0,17,4,0,1,67,10,11,0,0,0
02700  Kauniainen (Kauniainen),2090,10,0,31,0,0,18,143,12,106,25,38,24,147,49,100,377,799,83,128,0,0,0
02710  Viherlaakso (Espoo),1105,2,0,4,0,0,77,131,85,54,12,0,9,41,21,0,168,462,11,28,0,0,0
02720  Lähderanta (Espoo),311,0,0,0,0,0,16,65,5,21,5,1,12,20,2,0,25,94,32,13,0,0,0
02730  Jupperi (Espoo),460,5,0,6,0,0,54,31,22,8,23,1,5,48,11,0,46,101,88,11,0,0,0
02740  Bemböle-Pakankylä (Espoo),4131,3,0,13,0,1,202,832,12,53,4,2,11,94,53,0,43,2770,12,26,0,0,0
02750  Sepänkylä-Kuurinniitty (Espoo),734,5,0,1,0,0,178,61,43,34,16,1,3,59,25,109,68,94,31,6,0,0,0
02760  Tuomarila-Suvela (Espoo),1301,5,0,9,0,0,117,96,65,76,21,3,6,54,118,50,198,417,22,44,0,0,0
02770  Espoon Keskus (Espoo),6758,2,0,45,1,14,533,857,94,126,47,4,7,527,644,977,967,1410,166,337,0,0,0
02780  Kauklahti (Espoo),2050,10,0,414,0,45,179,368,27,87,53,5,11,78,107,0,228,346,43,49,0,0,0
02810  Gumböle-Karhusuo (Espoo),219,1,0,7,0,0,60,25,6,2,3,1,1,14,14,0,30,27,20,8,0,0,0
02820  Nupuri-Nuuksio (Espoo),317,2,0,17,0,27,47,14,20,13,7,0,2,24,43,0,29,25,41,6,0,0,0
02860  Siikajärvi (Espoo),132,0,0,0,1,0,27,5,7,36,6,1,1,5,1,0,0,34,1,7,0,0,0
02880  Veikkola (Kirkkonummi),913,7,0,134,0,0,164,100,36,11,16,7,8,67,24,11,112,170,23,23,0,0,0
02920  Niipperi (Espoo),3456,7,0,667,0,73,732,1208,158,46,29,6,11,73,163,0,76,145,5,57,0,0,0
02940  Lippajärvi-Järvenperä (Espoo),1160,30,0,36,0,0,80,104,46,35,32,3,6,65,52,0,169,452,27,23,0,0,0
02970  Kalajärvi (Espoo),1090,6,0,38,3,0,481,153,66,48,3,3,6,28,42,1,64,88,46,13,0,0,1
02980  Lakisto (Espoo),507,3,0,0,0,0,1,1,0,9,0,0,0,0,4,0,33,446,4,6,0,0,0
03100  Nummela (Vihti),4905,28,0,895,0,27,437,714,229,170,34,42,59,225,158,177,398,1082,108,122,0,0,0
