Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
00400  Pohjois-Haaga (Helsinki),2071,1,0,68,5,0,147,101,106,45,107,10,27,289,111,0,326,536,66,125,0,0,1
00410  Malminkartano (Helsinki),1575,2,0,3,0,0,541,153,20,19,37,4,66,141,88,0,239,199,17,46,0,0,0
00420  Kannelmäki (Helsinki),2635,1,0,39,0,0,144,617,54,498,40,0,9,150,51,0,145,670,46,171,0,0,0
00430  Maununneva - Kuninkaantammi (Helsinki),712,4,1,148,0,0,67,41,72,8,24,2,2,94,2,0,112,116,10,9,0,0,0
00440  Lassila (Helsinki),4698,0,0,39,0,5,1309,312,14,34,424,7,63,360,211,4,38,1117,734,27,0,0,0
00500  Sörnäinen - Harju (Helsinki),8747,2,0,80,0,16,191,589,285,620,573,2749,43,465,140,1137,155,727,242,733,0,0,0
00510  Alppila - Vallila (Helsinki),17354,2,0,1078,9,0,252,1979,285,345,2334,4961,190,1348,794,1545,743,792,324,372,0,0,1
00520  Itä- ja Keski-Pasila (Helsinki),15152,5,0,208,0,354,272,213,453,256,2025,110,275,1053,2306,4304,827,806,330,1355,0,0,0
00530  Kallio (Helsinki),14762,4,0,130,251,0,153,695,220,874,1424,424,519,1367,299,3292,738,2205,567,1587,0,12,1
00540  Kalasatama - Sompasaari (Helsinki),490,0,0,30,0,2,11,36,10,44,39,1,19,51,8,0,35,86,96,22,0,0,0
00550  Vallila - Hermanni (Helsinki),2383,1,0,58,0,0,75,321,304,127,50,10,10,130,34,0,608,232,269,154,0,0,0
00560  Toukola - Kumpula - Vanhakaupunki (Helsinki),6133,2,0,583,0,16,467,543,147,194,240,5,16,1013,324,236,1854,267,74,152,0,0,0
00570  Kulosaari (Helsinki),1194,1,0,5,0,0,5,82,28,61,325,193,9,41,27,0,162,94,131,18,0,12,0
00580  Kalasatama - Kyläsaari (Helsinki),8184,0,0,346,2,0,253,1511,183,347,973,99,133,745,646,984,201,1276,79,406,0,0,0
00590  Kruunuvuorenranta (Helsinki),52,1,0,1,0,0,4,4,9,0,8,0,1,14,1,0,1,2,4,2,0,0,0
00600  Koskela (Helsinki),1335,0,0,1,0,0,24,56,0,55,12,1,88,48,68,45,90,838,4,5,0,0,0
00610  Käpylä (Helsinki),3644,4,0,133,98,0,79,131,669,102,68,7,137,517,234,232,304,784,107,38,0,0,0
00620  Metsälä - Etelä-Oulunkylä (Helsinki),6737,1,0,259,306,0,2727,596,173,90,816,4,49,258,628,0,103,653,13,61,0,0,0
00630  Maunula (Helsinki),1400,0,0,11,0,0,114,65,20,36,17,0,8,34,40,0,161,649,200,45,0,0,0
00640  Oulunkylä - Patola (Helsinki),2003,2,0,29,1,0,61,290,235,38,24,7,52,106,138,36,182,684,43,75,0,0,0
00650  Veräjämäki (Helsinki),558,9,0,0,0,80,64,2,2,11,17,47,3,48,49,0,3,181,31,11,0,0,0
00660  Länsi-Pakila (Helsinki),1173,1,0,15,0,0,133,160,121,23,18,11,38,84,9,0,86,423,13,38,0,0,0
00670  Paloheinä (Helsinki),584,3,0,1,0,0,14,23,67,14,8,3,4,59,10,0,41,254,67,16,0,0,0
00680  Itä-Pakila (Helsinki),926,6,0,45,0,1,314,74,48,14,14,9,3,46,20,0,138,131,21,42,0,0,0
00690  Torpparinmäki (Helsinki),363,2,0,42,0,0,12,58,8,10,4,0,0,25,78,0,57,60,4,3,0,0,0
00700  Malmi (Helsinki),10094,9,0,365,0,90,990,1663,370,264,224,91,91,1015,578,509,645,2505,165,520,0,0,0
00710  Pihlajamäki - Viikinmäki (Helsinki),1218,1,0,26,0,80,104,247,45,77,10,2,15,35,48,0,158,310,25,35,0,0,0
00720  Pukinmäki (Helsinki),1667,0,0,32,0,0,246,227,122,115,31,22,23,218,88,0,167,328,12,36,0,0,0
00730  Tapanila (Helsinki),1289,28,0,44,0,4,181,135,93,37,22,2,9,77,149,0,156,179,125,48,0,0,0
00740  Siltamäki (Helsinki),1276,2,0,29,0,0,237,265,58,19,20,2,9,48,24,0,123,373,44,23,0,0,0
00750  Tapulikaupunki (Helsinki),2600,3,0,128,0,6,503,652,115,127,42,8,16,87,271,0,46,522,19,54,0,0,1
00760  Puistola - Heikinlaakso (Helsinki),1395,3,0,146,0,7,461,176,194,14,7,5,3,61,83,0,122,63,26,24,0,0,0
00770  Jakomäki - Alppikylä (Helsinki),2010,0,0,105,0,74,579,302,389,29,8,12,4,47,79,0,64,295,14,9,0,0,0
00780  Tapaninvainio (Helsinki),614,2,0,1,0,0,67,54,60,18,8,2,20,33,8,0,24,284,5,28,0,0,0
00790  Viikki (Helsinki),4726,9,0,51,0,0,174,243,16,70,32,1,20,1481,38,620,1606,309,35,21,0,0,0
00800  Länsi-Herttoniemi (Helsinki),901,1,0,1,0,0,22,42,45,38,30,2,12,57,42,0,123,389,19,78,0,0,0
00810  Herttoniemenranta (Helsinki),3076,1,0,28,0,0,267,651,108,128,186,35,172,185,638,0,122,414,66,75,0,0,0
00820  Roihuvuori (Helsinki),975,0,0,1,0,0,66,47,12,37,8,0,25,27,4,0,345,343,14,46,0,0,0
00830  Tammisalo (Helsinki),236,0,0,6,0,0,13,11,20,3,7,4,8,21,3,0,3,122,13,2,0,0,0
00840  Yliskylä (Helsinki),844,2,0,20,0,1,38,115,40,36,20,6,26,53,5,0,128,297,41,16,0,0,0
00850  Jollas (Helsinki),291,2,0,2,0,0,29,33,13,9,12,26,7,34,11,0,43,64,2,4,0,0,0
00860  Santahamina (Helsinki),747,0,0,12,0,0,0,0,0,46,0,0,92,1,0,568,13,2,0,13,0,0,0
00870  Gunillanmäki - Hevossalmi (Helsinki),339,0,0,5,0,0,18,10,15,6,9,2,2,18,15,0,20,206,4,9,0,0,0
00880  Keski-Herttoniemi - Roihupelto (Helsinki),7735,0,0,1561,0,2,851,2409,648,156,111,273,75,730,487,54,126,81,98,73,0,0,0
00890  Östersundom (Helsinki),451,2,0,24,0,0,54,82,36,6,2,6,12,25,33,0,82,68,8,11,0,0,0
00900  Puotinharju (Helsinki),1093,0,0,17,0,0,40,296,13,52,7,2,1,24,18,0,269,143,147,64,0,0,0
00910  Puotila (Helsinki),710,5,0,8,0,0,29,58,96,43,4,0,16,27,25,0,82,277,30,10,0,0,0
00920  Myllypuro (Helsinki),1797,0,0,5,0,0,89,128,110,91,12,3,6,43,53,0,117,936,176,28,0,0,0
00930  Itäkeskus - Marjaniemi (Helsinki),3922,1,0,21,0,0,82,1527,74,349,50,67,53,176,267,57,28,926,103,141,0,0,0
00940  Kontula - Vesala - Kivikko (Helsinki),3365,1,0,127,0,21,292,538,276,230,20,5,39,47,169,0,279,1078,84,159,0,0,0
00950  Vartioharju (Helsinki),1291,2,0,42,0,11,269,209,107,40,37,3,14,64,48,71,54,256,27,37,0,0,0
00960  Pohjois-Vuosaari (Helsinki),436,7,0,24,0,0,52,35,21,34,22,2,6,19,23,0,0,149,17,25,0,0,0
00970  Mellunmäki (Helsinki),664,4,0,6,0,0,96,94,40,38,9,1,4,13,19,0,94,164,24,58,0,0,0
00980  Etelä-Vuosaari (Helsinki),5081,3,0,908,53,0,173,406,1594,133,32,12,36,156,114,68,354,746,160,133,0,0,0
00990  Aurinkolahti (Helsinki),928,0,0,4,0,0,65,79,113,91,29,2,7,61,19,28,96,272,29,33,0,0,0
01120  Västerskog (Sipoo),198,7,0,13,0,0,40,38,6,13,9,1,0,15,15,0,12,21,6,2,0,0,0
01150  Söderkulla (Sipoo),1473,21,0,486,0,0,143,169,101,38,10,16,9,77,31,7,111,204,22,28,0,0,0
01180  Kalkkiranta (Sipoo),40,2,7,1,0,0,7,1,0,2,0,0,2,11,0,0,7,0,0,0,0,0,0
01190  Box (Sipoo),131,10,0,2,0,0,24,12,33,4,0,0,0,11,10,0,6,7,12,0,0,0,0
01200  Hakunila (Vantaa),2519,4,0,10,0,87,143,909,431,55,6,4,27,91,101,19,204,287,55,86,0,0,0
01230  Vaarala (Vantaa),1629,1,0,961,0,0,119,144,55,180,1,1,1,14,85,0,3,38,18,8,0,0,0
01260  Itä-Hakkila (Vantaa),2298,2,0,368,0,159,451,393,311,8,22,4,5,41,177,160,36,123,19,19,0,0,0
01280  Länsimäki (Vantaa),1365,0,0,722,0,0,89,45,41,53,9,1,8,20,64,0,95,168,16,34,0,0,0
01300  Tikkurila (Vantaa),12160,152,71,683,202,3,1117,1268,493,416,98,293,244,990,515,1396,757,2373,466,623,0,0,0
01340  Leinelä (Vantaa),55,0,0,0,0,0,4,7,3,2,2,0,0,4,4,0,0,23,0,6,0,0,0
01350  Hiekkaharju (Vantaa),1050,0,0,5,0,0,202,71,52,52,8,2,0,72,28,0,180,308,25,45,0,0,0
01360  Koivukylä-Havukoski (Vantaa),1625,4,0,18,0,0,114,218,133,32,14,0,9,42,107,71,160,614,50,39,0,0,0
01370  Jokiniemi (Vantaa),1569,6,0,16,0,0,50,28,23,8,128,0,0,33,33,658,369,117,45,55,0,0,0
01380  Kuusikko-Hakkila (Vantaa),5307,0,0,891,0,22,203,1987,1868,52,3,6,1,33,122,2,57,26,30,4,0,0,0
01390  Ruskeasanta-Ilola (Vantaa),1072,3,0,59,0,1,376,120,121,54,9,7,9,41,44,0,35,147,15,31,0,0,0
01400  Rekola (Vantaa),2663,1,0,20,0,0,310,251,57,50,14,1,10,34,21,0,124,1699,8,63,0,0,0
01420  Päiväkumpu (Vantaa),278,1,0,4,0,3,62,22,19,9,4,1,2,17,16,0,25,75,8,10,0,0,0
01450  Korso (Vantaa),3172,6,0,83,0,54,610,511,321,63,39,49,37,103,197,40,270,602,75,112,0,0,0
01480  Mikkola (Vantaa),901,1,0,57,0,0,222,151,47,23,2,0,0,25,36,0,121,193,5,18,0,0,0
01490  Nikinmäki (Vantaa),526,2,0,6,0,15,203,74,69,5,3,0,1,43,21,0,4,65,1,14,0,0,0
01510  Kirkonkylä-Veromäki (Vantaa),19164,18,70,3048,56,204,1835,7573,837,974,693,124,105,1212,1460,7,127,309,116,396,0,0,0
01520  Tammisto (Vantaa),888,1,0,219,0,5,53,106,54,33,8,0,1,29,22,0,130,188,18,21,0,0,0
01530  Veromiehenkylä (Vantaa),19772,0,8,1238,16,30,477,1886,11189,1361,480,173,61,497,1367,677,146,125,34,7,0,0,0
01600  Myyrmäki (Vantaa),4937,2,0,41,0,0,422,543,115,212,72,105,58,446,112,629,523,1264,206,187,0,0,0
01610  Kaivoksela (Vantaa),2922,0,0,44,0,82,1089,773,129,44,31,0,20,193,247,0,67,176,2,25,0,0,0
01620  Martinlaakso (Vantaa),5728,2,0,2121,54,0,498,553,127,92,117,15,13,907,95,39,239,759,59,38,0,0,0
01630  Hämeenkylä (Vantaa),299,13,0,11,0,0,20,55,61,48,5,1,3,3,5,0,13,30,1,30,0,0,0
01640  Hämevaara (Vantaa),1088,1,0,114,0,0,98,602,34,9,11,2,3,78,93,0,1,27,10,5,0,0,0
01650  Vapaala (Vantaa),1325,2,0,59,0,0,710,92,46,6,18,0,11,176,16,0,45,109,7,28,0,0,0
01660  Varisto (Vantaa),315,0,0,5,0,0,31,44,5,10,2,0,1,5,109,0,15,79,0,9,0,0,0
01670  Vantaanlaakso (Vantaa),1834,0,0,1092,0,0,179,281,22,58,35,0,0,31,6,61,0,43,8,18,0,0,0
01680  Askisto (Vantaa),229,0,0,1,0,5,32,44,28,3,3,1,0,6,29,0,28,42,2,5,0,0,0
01690  Ylästö (Vantaa),392,4,0,3,0,0,40,22,33,30,9,4,0,64,41,0,47,81,4,10,0,0,0
01700  Kivistö (Vantaa),698,15,0,6,0,0,123,45,92,41,18,2,14,30,35,0,30,216,3,28,0,0,0
01710  Pähkinärinne (Vantaa),446,0,0,2,0,0,58,49,38,12,2,1,0,13,18,0,78,112,35,28,0,0,0
01720  Petikko (Vantaa),3683,0,3,478,0,5,489,2001,197,37,32,0,6,232,93,0,25,4,66,15,0,0,0
01730  Vantaanpuisto (Vantaa),1424,5,0,157,0,0,330,576,96,9,10,3,17,42,23,0,92,41,12,11,0,0,0
01740  Tuupakan teollisuusalue (Vantaa),5426,0,0,347,0,5,808,1694,1676,93,7,38,29,161,468,0,34,33,33,0,0,0,0
01750  Keimola (Vantaa),389,2,0,27,0,0,75,37,196,8,3,0,1,5,0,0,1,2,22,10,0,0,0
01760  Seutula (Vantaa),606,15,0,13,0,45,99,38,42,1,2,2,6,12,8,2,13,281,20,7,0,0,0
01770  Martinlaakson teollisuusalue (Vantaa),605,0,0,118,0,0,0,0,6,3,287,0,0,0,0,0,43,148,0,0,0,0,0
01800  Klaukkala Keskus (Nurmijärvi),2446,8,0,343,0,2,296,599,112,67,27,32,36,117,87,0,249,326,58,87,0,0,0
01810  Luhtajoki (Nurmijärvi),121,2,0,8,0,0,41,9,43,0,0,1,0,2,0,0,11,2,1,1,0,0,0
01820  Haikala (Nurmijärvi),241,1,0,7,0,0,47,15,19,0,2,1,0,16,3,0,56,69,2,3,0,0,0
01830  Lepsämä (Nurmijärvi),306,24,0,24,0,0,82,24,60,2,3,1,1,6,13,0,19,42,2,3,0,0,0
01840  Klaukkala (Nurmijärvi),449,5,0,20,0,12,73,54,21,13,9,0,11,34,13,0,44,121,11,8,0,0,0
01860  Perttula (Nurmijärvi),210,37,3,14,0,0,51,14,13,6,7,0,0,17,5,1,20,11,6,5,0,0,0
01900  Nurmijärvi Keskus (Nurmijärvi),4688,30,0,379,35,34,687,766,400,162,18,18,36,155,293,221,230,1033,80,111,0,0,0
01940  Palojoki (Nurmijärvi),71,5,0,5,0,0,20,5,8,0,1,0,0,4,5,0,10,3,2,3,0,0,0
02100  Tapiola (Espoo),6184,15,13,527,0,0,19,769,37,384,296,1424,111,523,37,152,561,636,411,269,0,0,0
02110  Otsolahti (Espoo),259,2,0,7,0,0,5,19,27,20,66,1,4,53,2,0,2,41,7,3,0,0,0
02120  Länsikorkee-Suvikumpu (Espoo),171,0,0,0,0,0,3,27,7,20,5,1,0,33,6,0,34,15,10,10,0,0,0
02130  Pohjois-Tapiola (Espoo),3672,2,0,148,0,3,62,670,23,71,1114,21,83,562,340,0,211,329,6,27,0,0,0
02140  Laajalahti (Espoo),364,1,0,3,0,0,45,17,16,8,17,4,2,64,4,0,36,126,18,3,0,0,0
02150  Otaniemi (Espoo),19460,2,2,1337,1191,5,484,1672,7,316,5949,86,109,3357,434,131,3812,259,180,127,0,0,0
02160  Westend (Espoo),612,12,0,7,0,0,30,33,11,16,78,9,5,158,54,0,33,146,11,9,0,0,0
02170  Haukilahti (Espoo),1005,4,0,108,0,0,114,127,23,49,89,15,24,91,30,0,78,152,78,23,0,0,0
02180  Mankkaa (Espoo),1795,1,0,97,0,2,45,307,693,69,81,9,7,66,60,0,137,170,26,25,0,0,0
02200  Niittykumpu (Espoo),8681,2,0,1952,6,18,226,2581,43,245,549,648,63,626,963,32,95,337,220,75,0,0,0
02210  Olari (Espoo),1918,3,0,36,0,0,108,321,25,80,94,12,34,177,71,0,304,524,69,60,0,0,0
02230  Matinkylä (Espoo),5195,6,0,721,0,0,148,1265,102,435,101,183,108,417,226,66,277,827,177,136,0,0,0
02240  Friisilä (Espoo),1319,1,0,119,0,0,154,404,21,21,77,4,5,175,60,0,22,234,9,13,0,0,0
02250  Henttaa (Espoo),392,2,0,1,0,0,40,39,12,22,13,0,0,56,13,0,54,100,21,19,0,0,0
02260  Kaitaa (Espoo),366,1,0,1,0,0,35,19,22,11,6,1,3,27,7,0,97,127,5,4,0,0,0
02270  Finnoo-Eestinmalmi (Espoo),2939,1,0,369,15,25,133,1208,290,48,114,19,50,254,136,0,90,142,18,27,0,0,0
02280  Malminmäki-Eestinlaakso (Espoo),357,0,0,1,0,0,25,48,11,22,10,1,5,60,26,0,48,77,19,4,0,0,0
02290  Puolarmetsän sairaala (Espoo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02300  Nöykkiönpuro (Espoo),362,0,0,4,0,0,15,112,36,33,12,4,2,41,9,0,43,27,17,7,0,0,0
02320  Espoonlahti (Espoo),2040,1,0,24,0,3,184,250,63,101,43,19,39,112,45,3,102,781,139,131,0,0,0
02330  Saunalahti-Kattilalaakso (Espoo),2103,2,0,216,0,0,162,461,74,41,102,5,34,161,57,0,228,499,36,25,0,0,0
02340  Latokaski (Espoo),317,2,0,5,0,0,11,36,21,17,18,0,1,31,16,0,60,82,7,10,0,0,0
02360  Soukka (Espoo),1087,3,0,13,0,0,95,80,15,47,14,9,18,60,110,39,225,185,126,46,0,0,2
02380  Suvisaaristo (Espoo),88,0,0,6,0,0,5,20,8,3,3,4,3,11,0,0,2,11,6,6,0,0,0
02390  Sarvvik (Kirkkonummi),76,13,0,0,0,0,13,2,5,15,2,0,0,2,2,0,3,8,10,1,0,0,0
02400  Kirkkonummi Keskus (Kirkkonummi),3566,8,0,72,0,17,323,516,148,157,29,44,44,191,267,231,402,899,76,142,0,0,0
02410  Gesterby (Kirkkonummi),61,1,0,0,0,0,19,1,3,4,0,0,0,6,2,0,0,17,5,3,0,0,0
02420  Jorvas (Kirkkonummi),1436,9,0,50,0,0,77,310,29,74,43,4,1,599,152,0,7,65,9,7,0,0,0
02430  Masala (Kirkkonummi),967,0,0,157,0,1,37,229,46,13,4,1,13,135,19,7,98,166,20,21,0,0,0
02440  Luoma (Kirkkonummi),90,3,0,1,0,0,9,13,3,35,1,0,6,7,5,1,0,1,1,4,0,0,0
02450  Sundsberg (Kirkkonummi),125,1,0,0,0,0,7,6,3,5,8,0,0,10,3,1,30,49,1,1,0,0,0
02460  Kantvik (Kirkkonummi),407,0,0,288,0,0,10,12,27,4,2,1,2,3,0,6,21,28,1,2,0,0,0
02470  Upinniemi (Kirkkonummi),645,0,0,21,0,0,1,0,0,16,0,0,16,1,0,568,8,4,0,10,0,0,0
02480  Porkkala (Kirkkonummi),558,16,0,106,0,3,125,33,31,5,14,2,1,31,15,37,10,80,28,21,0,0,0
02490  Pikkala (Siuntio),417,0,0,397,0,0,4,9,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0
02510  Oitmäki (Kirkkonummi),54,3,0,2,0,0,17,1,6,0,1,0,0,5,9,0,5,1,4,0,0,0,0
02520  Lapinkylä (Kirkkonummi),76,4,0,0,0,0,23,15,12,0,2,0,0,5,5,0,0,1,4,5,0,0,0
02540  Kylmälä (Kirkkonummi),106,12,0,14,0,0,12,5,7,1,0,0,0,20,6,2,13,1,11,2,0,0,0
02550  Evitskog (Kirkkonummi),106,6,0,3,0,0,26,7,17,1,1,0,1,4,5,0,0,19,14,2,0,0,0
02570  Siuntio Kirkonkylä (Siuntio),239,32,0,5,0,0,26,12,19,32,2,0,1,9,6,0,7,50,14,24,0,0,0
02580  Siuntio Asemanseutu (Siuntio),723,31,0,18,0,1,72,113,24,22,7,0,7,45,25,47,76,197,33,5,0,0,0
02590  Lappers (Siuntio),59,9,0,0,0,0,3,6,2,0,0,0,1,0,2,0,0,28,7,1,0,0,0
02600  Etelä-Leppävaara (Espoo),14371,4,0,529,295,0,1070,3090,167,486,3043,380,170,3061,376,65,377,857,219,182,0,0,0
02610  Kilo (Espoo),4587,1,0,3099,0,0,176,396,20,85,99,1,11,104,68,0,188,306,4,29,0,0,0
02620  Karakallio (Espoo),746,0,0,7,0,0,77,78,32,43,21,3,10,36,68,0,125,212,4,29,1,0,0
02630  Nihtisilta (Espoo),4666,1,0,265,0,0,265,1031,349,120,434,228,142,400,265,615,112,213,167,59,0,0,0
02650  Pohjois-Leppävaara (Espoo),3114,2,0,80,0,0,200,237,65,169,106,1,25,228,107,49,783,742,213,107,0,0,0
02660  Lintuvaara (Espoo),610,4,0,7,0,0,73,54,28,32,14,6,3,33,22,0,142,183,4,4,0,0,1
02680  Uusmäki (Espoo),93,0,0,0,0,0,16,14,4,6,2,0,0,10,1,0,1,26,5,8,0,0,0
02700  Kauniainen (Kauniainen),2088,6,0,31,0,0,29,166,14,114,27,38,20,145,45,98,401,759,77,118,0,0,0
02710  Viherlaakso (Espoo),1208,2,0,4,0,0,88,161,80,21,32,2,6,54,48,0,154,519,11,26,0,0,0
02720  Lähderanta (Espoo),375,0,0,0,0,0,23,65,10,15,5,0,12,23,9,0,20,111,60,22,0,0,0
02730  Jupperi (Espoo),412,2,0,2,0,0,60,29,17,11,23,2,6,44,14,0,41,73,78,10,0,0,0
02740  Bemböle-Pakankylä (Espoo),4120,3,0,12,0,1,265,806,23,56,4,2,13,67,40,0,40,2734,24,30,0,0,0
02750  Sepänkylä-Kuurinniitty (Espoo),683,1,0,1,0,0,106,45,64,46,18,2,2,54,18,98,74,84,26,44,0,0,0
02760  Tuomarila-Suvela (Espoo),1311,4,0,7,0,0,152,102,41,96,22,1,12,75,90,46,183,400,34,46,0,0,0
02770  Espoon Keskus (Espoo),6628,2,0,40,0,17,489,952,85,146,37,7,13,486,673,977,903,1352,120,329,0,0,0
02780  Kauklahti (Espoo),2113,12,0,403,0,29,146,368,150,87,63,4,16,64,101,0,203,379,40,48,0,0,0
02810  Gumböle-Karhusuo (Espoo),287,0,0,11,0,0,86,23,46,2,7,0,2,10,9,0,28,24,22,17,0,0,0
02820  Nupuri-Nuuksio (Espoo),317,2,2,6,0,28,59,18,22,13,4,0,15,15,36,0,21,28,42,6,0,0,0
02860  Siikajärvi (Espoo),164,0,0,0,0,0,36,3,8,39,4,1,0,6,2,0,0,59,4,2,0,0,0
02880  Veikkola (Kirkkonummi),954,4,0,145,0,0,181,98,43,8,17,2,9,68,22,5,103,200,28,21,0,0,0
02920  Niipperi (Espoo),3623,5,0,648,0,110,833,1279,187,41,34,4,9,76,156,0,79,107,13,42,0,0,0
02940  Lippajärvi-Järvenperä (Espoo),1241,29,0,38,0,0,164,109,71,38,19,7,4,35,51,0,156,457,34,29,0,0,0
02970  Kalajärvi (Espoo),814,3,0,34,0,0,264,134,47,48,5,3,5,24,36,1,54,84,53,18,0,0,1
02980  Lakisto (Espoo),527,2,0,0,0,0,5,0,1,11,0,0,0,0,5,0,21,467,5,10,0,0,0
03100  Nummela (Vihti),5208,26,0,957,1,26,591,729,211,211,38,53,60,244,156,197,379,1002,121,143,63,0,0
