Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
00320  Etelä-Haaga (Helsinki),1977.00,2.00,0.00,21.00,0.00,0.00,231.00,263.00,9.00,105.00,60.00,4.00,95.00,86.00,62.00,123.00,352.00,445.00,40.00,79.00,0.00,0.00,0.00
00330  Munkkiniemi (Helsinki),2176.00,5.00,1.00,16.00,0.00,0.00,58.00,386.00,23.00,124.00,411.00,39.00,33.00,214.00,30.00,0.00,210.00,459.00,34.00,133.00,0.00,0.00,0.00
00340  Kuusisaari - Lehtisaari (Helsinki),417.00,1.00,0.00,0.00,0.00,0.00,5.00,15.00,9.00,11.00,150.00,7.00,4.00,41.00,5.00,0.00,0.00,98.00,37.00,9.00,0.00,25.00,0.00
00350  Munkkivuori - Niemenmäki (Helsinki),1591.00,1.00,0.00,10.00,0.00,5.00,40.00,386.00,48.00,53.00,102.00,22.00,61.00,123.00,132.00,0.00,148.00,376.00,46.00,38.00,0.00,0.00,0.00
00360  Pajamäki (Helsinki),74.00,0.00,0.00,1.00,0.00,0.00,15.00,17.00,3.00,0.00,1.00,0.00,0.00,23.00,0.00,0.00,5.00,0.00,3.00,6.00,0.00,0.00,0.00
00370  Reimarla (Helsinki),4106.00,0.00,0.00,1327.00,2.00,0.00,379.00,505.00,64.00,99.00,765.00,19.00,15.00,210.00,124.00,0.00,77.00,452.00,27.00,41.00,0.00,0.00,0.00
00380  Pitäjänmäen yritysalue (Helsinki),18108.00,0.00,81.00,3700.00,0.00,216.00,822.00,1686.00,234.00,101.00,4529.00,216.00,304.00,920.00,2586.00,784.00,469.00,862.00,451.00,147.00,0.00,0.00,0.00
00390  Konala (Helsinki),5494.00,0.00,0.00,413.00,0.00,0.00,939.00,1523.00,880.00,56.00,340.00,9.00,24.00,258.00,733.00,1.00,35.00,137.00,70.00,76.00,0.00,0.00,0.00
00400  Pohjois-Haaga (Helsinki),2029.00,2.00,0.00,70.00,6.00,0.00,138.00,102.00,86.00,20.00,70.00,5.00,12.00,211.00,89.00,0.00,496.00,599.00,17.00,105.00,0.00,0.00,1.00
00410  Malminkartano (Helsinki),1433.00,1.00,0.00,67.00,0.00,0.00,514.00,79.00,33.00,17.00,18.00,1.00,45.00,95.00,63.00,0.00,208.00,229.00,21.00,42.00,0.00,0.00,0.00
00420  Kannelmäki (Helsinki),2274.00,2.00,0.00,42.00,0.00,0.00,130.00,534.00,57.00,139.00,44.00,5.00,5.00,115.00,40.00,0.00,233.00,740.00,43.00,145.00,0.00,0.00,0.00
00430  Maununneva - Kuninkaantammi (Helsinki),730.00,2.00,1.00,134.00,0.00,0.00,81.00,93.00,87.00,3.00,33.00,2.00,8.00,94.00,9.00,0.00,23.00,136.00,16.00,8.00,0.00,0.00,0.00
00440  Lassila (Helsinki),4463.00,0.00,0.00,35.00,0.00,0.00,1121.00,295.00,3.00,35.00,415.00,0.00,61.00,354.00,262.00,0.00,34.00,1085.00,735.00,28.00,0.00,0.00,0.00
00500  Sörnäinen - Harju (Helsinki),9466.00,5.00,0.00,21.00,0.00,0.00,123.00,455.00,291.00,356.00,838.00,3686.00,23.00,763.00,116.00,1123.00,156.00,573.00,242.00,695.00,0.00,0.00,0.00
00510  Alppila - Vallila (Helsinki),17160.00,8.00,0.00,1044.00,22.00,0.00,394.00,2026.00,175.00,334.00,490.00,5168.00,285.00,1354.00,738.00,2244.00,1404.00,731.00,378.00,365.00,0.00,0.00,0.00
00520  Itä- ja Keski-Pasila (Helsinki),18020.00,0.00,0.00,177.00,0.00,0.00,143.00,912.00,479.00,350.00,4467.00,119.00,239.00,1563.00,2165.00,4113.00,826.00,876.00,213.00,1378.00,0.00,0.00,0.00
00530  Kallio (Helsinki),14781.00,5.00,1.00,143.00,8.00,0.00,202.00,654.00,117.00,432.00,1573.00,161.00,584.00,1340.00,348.00,3735.00,886.00,2694.00,267.00,1613.00,0.00,18.00,0.00
00540  Kalasatama - Sompasaari (Helsinki),761.00,0.00,0.00,26.00,223.00,0.00,15.00,30.00,5.00,34.00,46.00,1.00,6.00,62.00,17.00,0.00,39.00,132.00,97.00,28.00,0.00,0.00,0.00
00550  Vallila - Hermanni (Helsinki),1953.00,1.00,0.00,77.00,0.00,0.00,48.00,301.00,166.00,88.00,60.00,1.00,15.00,128.00,46.00,0.00,515.00,221.00,76.00,210.00,0.00,0.00,0.00
00560  Toukola - Kumpula - Vanhakaupunki (Helsinki),5673.00,3.00,0.00,539.00,0.00,14.00,418.00,389.00,46.00,71.00,333.00,44.00,23.00,989.00,390.00,272.00,1686.00,266.00,72.00,118.00,0.00,0.00,0.00
00570  Kulosaari (Helsinki),1202.00,3.00,0.00,11.00,0.00,0.00,8.00,65.00,37.00,36.00,280.00,244.00,8.00,52.00,15.00,0.00,177.00,121.00,117.00,6.00,0.00,22.00,0.00
00580  Kalasatama - Kyläsaari (Helsinki),10815.00,0.00,0.00,297.00,2.00,5.00,171.00,2892.00,274.00,222.00,1249.00,96.00,86.00,1084.00,427.00,1571.00,185.00,1453.00,148.00,653.00,0.00,0.00,0.00
00590  Kruunuvuorenranta (Helsinki),122.00,1.00,0.00,1.00,0.00,0.00,11.00,18.00,5.00,0.00,7.00,0.00,1.00,16.00,7.00,0.00,0.00,50.00,4.00,1.00,0.00,0.00,0.00
00600  Koskela (Helsinki),1053.00,0.00,0.00,2.00,0.00,0.00,11.00,41.00,2.00,54.00,15.00,1.00,74.00,41.00,28.00,0.00,69.00,704.00,3.00,8.00,0.00,0.00,0.00
00610  Käpylä (Helsinki),2735.00,1.00,0.00,159.00,0.00,0.00,63.00,112.00,46.00,68.00,96.00,7.00,212.00,484.00,203.00,211.00,257.00,616.00,166.00,34.00,0.00,0.00,0.00
00620  Metsälä - Etelä-Oulunkylä (Helsinki),6850.00,1.00,0.00,289.00,318.00,0.00,3160.00,429.00,144.00,68.00,829.00,4.00,48.00,186.00,621.00,0.00,96.00,579.00,13.00,65.00,0.00,0.00,0.00
00630  Maunula (Helsinki),1374.00,0.00,0.00,9.00,0.00,0.00,76.00,74.00,14.00,56.00,12.00,0.00,11.00,46.00,32.00,0.00,178.00,623.00,213.00,30.00,0.00,0.00,0.00
00640  Oulunkylä - Patola (Helsinki),2056.00,0.00,0.00,24.00,0.00,9.00,74.00,234.00,187.00,34.00,25.00,13.00,39.00,120.00,212.00,40.00,160.00,748.00,68.00,69.00,0.00,0.00,0.00
00650  Veräjämäki (Helsinki),364.00,4.00,0.00,2.00,0.00,0.00,51.00,4.00,6.00,14.00,14.00,0.00,2.00,56.00,10.00,0.00,1.00,182.00,7.00,11.00,0.00,0.00,0.00
00660  Länsi-Pakila (Helsinki),1082.00,1.00,0.00,8.00,0.00,0.00,84.00,182.00,97.00,51.00,16.00,8.00,39.00,62.00,12.00,0.00,93.00,382.00,16.00,31.00,0.00,0.00,0.00
00670  Paloheinä (Helsinki),528.00,1.00,0.00,9.00,0.00,6.00,19.00,19.00,34.00,10.00,11.00,4.00,4.00,66.00,10.00,0.00,38.00,248.00,42.00,7.00,0.00,0.00,0.00
00680  Itä-Pakila (Helsinki),872.00,2.00,0.00,22.00,0.00,0.00,294.00,100.00,27.00,9.00,9.00,0.00,3.00,38.00,18.00,0.00,179.00,123.00,31.00,17.00,0.00,0.00,0.00
00690  Torpparinmäki (Helsinki),336.00,2.00,0.00,19.00,0.00,0.00,9.00,74.00,1.00,23.00,4.00,1.00,1.00,22.00,63.00,0.00,60.00,51.00,3.00,3.00,0.00,0.00,0.00
00700  Malmi (Helsinki),9792.00,14.00,0.00,351.00,0.00,100.00,920.00,1620.00,370.00,337.00,231.00,89.00,90.00,1007.00,639.00,541.00,588.00,2357.00,79.00,459.00,0.00,0.00,0.00
00710  Pihlajamäki - Viikinmäki (Helsinki),1168.00,1.00,0.00,41.00,0.00,128.00,95.00,232.00,29.00,45.00,12.00,1.00,9.00,37.00,24.00,0.00,182.00,270.00,16.00,46.00,0.00,0.00,0.00
00720  Pukinmäki (Helsinki),1646.00,0.00,0.00,17.00,0.00,0.00,341.00,194.00,18.00,177.00,34.00,9.00,12.00,229.00,90.00,0.00,170.00,308.00,17.00,30.00,0.00,0.00,0.00
00730  Tapanila (Helsinki),1141.00,29.00,0.00,46.00,0.00,0.00,121.00,110.00,45.00,63.00,29.00,6.00,13.00,88.00,112.00,0.00,174.00,187.00,93.00,25.00,0.00,0.00,0.00
00740  Siltamäki (Helsinki),1206.00,1.00,0.00,22.00,0.00,0.00,201.00,272.00,41.00,41.00,13.00,2.00,4.00,45.00,33.00,0.00,130.00,358.00,23.00,20.00,0.00,0.00,0.00
00750  Tapulikaupunki (Helsinki),2617.00,1.00,0.00,131.00,0.00,4.00,502.00,670.00,119.00,53.00,36.00,6.00,16.00,146.00,320.00,0.00,73.00,493.00,18.00,28.00,0.00,0.00,1.00
00760  Puistola - Heikinlaakso (Helsinki),1399.00,1.00,0.00,161.00,0.00,4.00,383.00,236.00,180.00,53.00,8.00,4.00,6.00,53.00,49.00,0.00,125.00,81.00,36.00,19.00,0.00,0.00,0.00
00770  Jakomäki - Alppikylä (Helsinki),2185.00,1.00,0.00,115.00,0.00,81.00,672.00,346.00,326.00,43.00,7.00,5.00,1.00,44.00,86.00,0.00,69.00,338.00,35.00,16.00,0.00,0.00,0.00
00780  Tapaninvainio (Helsinki),633.00,2.00,0.00,0.00,0.00,0.00,89.00,51.00,47.00,23.00,15.00,1.00,2.00,39.00,19.00,0.00,29.00,303.00,2.00,11.00,0.00,0.00,0.00
00790  Viikki (Helsinki),4964.00,2.00,0.00,96.00,0.00,0.00,112.00,261.00,14.00,38.00,36.00,1.00,7.00,1829.00,37.00,579.00,1646.00,250.00,34.00,22.00,0.00,0.00,0.00
00800  Länsi-Herttoniemi (Helsinki),915.00,1.00,0.00,1.00,0.00,0.00,32.00,45.00,36.00,36.00,41.00,14.00,18.00,70.00,18.00,0.00,129.00,383.00,32.00,59.00,0.00,0.00,0.00
00810  Herttoniemenranta (Helsinki),2929.00,1.00,0.00,23.00,0.00,0.00,272.00,665.00,87.00,140.00,102.00,24.00,133.00,193.00,656.00,0.00,91.00,399.00,58.00,85.00,0.00,0.00,0.00
00820  Roihuvuori (Helsinki),1096.00,0.00,0.00,5.00,0.00,0.00,41.00,43.00,10.00,58.00,14.00,1.00,13.00,38.00,15.00,0.00,457.00,328.00,23.00,50.00,0.00,0.00,0.00
00830  Tammisalo (Helsinki),151.00,0.00,0.00,2.00,0.00,0.00,13.00,8.00,11.00,34.00,9.00,3.00,5.00,23.00,1.00,0.00,1.00,33.00,6.00,2.00,0.00,0.00,0.00
00840  Yliskylä (Helsinki),866.00,1.00,0.00,13.00,0.00,0.00,54.00,127.00,42.00,41.00,18.00,5.00,19.00,51.00,17.00,0.00,155.00,259.00,49.00,15.00,0.00,0.00,0.00
00850  Jollas (Helsinki),252.00,1.00,0.00,1.00,0.00,0.00,15.00,34.00,2.00,7.00,11.00,9.00,6.00,41.00,11.00,0.00,43.00,62.00,1.00,8.00,0.00,0.00,0.00
00860  Santahamina (Helsinki),763.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,89.00,1.00,0.00,591.00,16.00,0.00,0.00,11.00,0.00,0.00,0.00
00870  Gunillanmäki - Hevossalmi (Helsinki),300.00,0.00,0.00,5.00,0.00,0.00,20.00,13.00,13.00,11.00,18.00,1.00,3.00,20.00,10.00,0.00,29.00,140.00,9.00,8.00,0.00,0.00,0.00
00880  Keski-Herttoniemi - Roihupelto (Helsinki),7358.00,0.00,0.00,1632.00,0.00,0.00,802.00,2455.00,537.00,138.00,85.00,37.00,39.00,719.00,404.00,46.00,91.00,206.00,86.00,81.00,0.00,0.00,0.00
00890  Östersundom (Helsinki),414.00,2.00,0.00,6.00,0.00,0.00,66.00,53.00,28.00,6.00,1.00,5.00,7.00,27.00,28.00,0.00,105.00,71.00,5.00,4.00,0.00,0.00,0.00
00900  Puotinharju (Helsinki),1059.00,0.00,0.00,11.00,0.00,0.00,45.00,365.00,22.00,46.00,7.00,1.00,0.00,18.00,8.00,0.00,204.00,141.00,128.00,63.00,0.00,0.00,0.00
00910  Puotila (Helsinki),640.00,4.00,0.00,18.00,0.00,0.00,18.00,53.00,84.00,22.00,3.00,0.00,19.00,18.00,23.00,0.00,86.00,258.00,23.00,11.00,0.00,0.00,0.00
00920  Myllypuro (Helsinki),2206.00,0.00,0.00,5.00,0.00,0.00,146.00,104.00,107.00,89.00,24.00,4.00,14.00,59.00,59.00,0.00,578.00,856.00,127.00,34.00,0.00,0.00,0.00
00930  Itäkeskus - Marjaniemi (Helsinki),3279.00,1.00,0.00,24.00,1.00,0.00,35.00,1297.00,49.00,249.00,54.00,81.00,37.00,116.00,371.00,47.00,24.00,670.00,128.00,95.00,0.00,0.00,0.00
00940  Kontula - Vesala - Kivikko (Helsinki),3409.00,1.00,0.00,274.00,0.00,18.00,321.00,356.00,302.00,204.00,19.00,2.00,25.00,70.00,165.00,0.00,299.00,1152.00,77.00,124.00,0.00,0.00,0.00
00950  Vartioharju (Helsinki),1192.00,2.00,0.00,20.00,0.00,11.00,205.00,228.00,79.00,30.00,31.00,7.00,18.00,85.00,50.00,73.00,60.00,249.00,13.00,31.00,0.00,0.00,0.00
00960  Pohjois-Vuosaari (Helsinki),326.00,5.00,0.00,16.00,0.00,0.00,56.00,33.00,21.00,11.00,5.00,1.00,8.00,29.00,17.00,0.00,1.00,99.00,12.00,12.00,0.00,0.00,0.00
00970  Mellunmäki (Helsinki),672.00,2.00,0.00,3.00,0.00,1.00,62.00,84.00,44.00,39.00,7.00,2.00,5.00,12.00,25.00,0.00,118.00,218.00,10.00,40.00,0.00,0.00,0.00
00980  Etelä-Vuosaari (Helsinki),4907.00,1.00,0.00,760.00,53.00,0.00,145.00,391.00,1559.00,130.00,38.00,9.00,21.00,129.00,161.00,57.00,387.00,850.00,101.00,115.00,0.00,0.00,0.00
00990  Aurinkolahti (Helsinki),917.00,0.00,0.00,12.00,0.00,0.00,77.00,70.00,81.00,79.00,35.00,5.00,8.00,66.00,15.00,25.00,105.00,297.00,6.00,36.00,0.00,0.00,0.00
01120  Västerskog (Sipoo),183.00,6.00,0.00,9.00,0.00,0.00,34.00,33.00,13.00,17.00,8.00,2.00,10.00,14.00,14.00,0.00,2.00,13.00,6.00,2.00,0.00,0.00,0.00
01150  Söderkulla (Sipoo),1634.00,15.00,0.00,529.00,0.00,4.00,161.00,260.00,75.00,25.00,8.00,15.00,5.00,93.00,29.00,0.00,124.00,243.00,27.00,21.00,0.00,0.00,0.00
01180  Kalkkiranta (Sipoo),45.00,2.00,5.00,4.00,0.00,0.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,8.00,0.00,1.00,2.00,0.00,0.00,0.00
01190  Box (Sipoo),141.00,12.00,0.00,2.00,0.00,0.00,23.00,13.00,31.00,5.00,0.00,0.00,2.00,13.00,11.00,0.00,9.00,8.00,9.00,3.00,0.00,0.00,0.00
01200  Hakunila (Vantaa),2607.00,4.00,0.00,9.00,88.00,0.00,173.00,957.00,450.00,47.00,7.00,1.00,12.00,64.00,146.00,20.00,202.00,298.00,52.00,77.00,0.00,0.00,0.00
01230  Vaarala (Vantaa),1873.00,8.00,0.00,1300.00,0.00,0.00,130.00,131.00,44.00,79.00,1.00,0.00,2.00,15.00,107.00,0.00,3.00,25.00,18.00,10.00,0.00,0.00,0.00
01260  Itä-Hakkila (Vantaa),1823.00,2.00,0.00,304.00,0.00,164.00,417.00,177.00,250.00,18.00,35.00,5.00,2.00,45.00,34.00,162.00,35.00,139.00,10.00,24.00,0.00,0.00,0.00
01280  Länsimäki (Vantaa),815.00,2.00,0.00,151.00,0.00,0.00,121.00,39.00,51.00,42.00,13.00,2.00,8.00,28.00,53.00,0.00,100.00,157.00,16.00,32.00,0.00,0.00,0.00
01300  Tikkurila (Vantaa),12554.00,161.00,109.00,666.00,188.00,0.00,1295.00,1042.00,603.00,307.00,172.00,247.00,275.00,875.00,623.00,1370.00,952.00,2666.00,446.00,557.00,0.00,0.00,0.00
01340  Leinelä (Vantaa),137.00,0.00,0.00,2.00,0.00,0.00,27.00,9.00,17.00,3.00,4.00,0.00,0.00,9.00,4.00,0.00,1.00,49.00,0.00,12.00,0.00,0.00,0.00
01350  Hiekkaharju (Vantaa),1046.00,0.00,0.00,8.00,0.00,0.00,122.00,72.00,46.00,37.00,15.00,6.00,0.00,53.00,52.00,0.00,166.00,363.00,53.00,53.00,0.00,0.00,0.00
01360  Koivukylä-Havukoski (Vantaa),1872.00,3.00,0.00,17.00,0.00,0.00,135.00,218.00,347.00,44.00,12.00,0.00,9.00,46.00,105.00,71.00,131.00,647.00,39.00,48.00,0.00,0.00,0.00
01370  Jokiniemi (Vantaa),1558.00,3.00,0.00,16.00,0.00,0.00,63.00,30.00,26.00,11.00,135.00,0.00,0.00,21.00,18.00,673.00,368.00,115.00,33.00,46.00,0.00,0.00,0.00
01380  Kuusikko-Hakkila (Vantaa),4729.00,1.00,0.00,907.00,0.00,220.00,369.00,1041.00,1769.00,8.00,5.00,0.00,0.00,45.00,237.00,2.00,47.00,29.00,41.00,8.00,0.00,0.00,0.00
01390  Ruskeasanta-Ilola (Vantaa),967.00,1.00,0.00,78.00,0.00,1.00,335.00,107.00,90.00,41.00,14.00,8.00,5.00,46.00,46.00,0.00,33.00,119.00,12.00,31.00,0.00,0.00,0.00
01400  Rekola (Vantaa),2910.00,0.00,0.00,19.00,0.00,0.00,328.00,198.00,47.00,56.00,16.00,1.00,13.00,42.00,156.00,0.00,142.00,1827.00,12.00,53.00,0.00,0.00,0.00
01420  Päiväkumpu (Vantaa),319.00,1.00,0.00,3.00,0.00,1.00,60.00,30.00,27.00,9.00,4.00,0.00,3.00,25.00,28.00,0.00,27.00,92.00,2.00,7.00,0.00,0.00,0.00
01450  Korso (Vantaa),3063.00,11.00,0.00,81.00,2.00,7.00,759.00,526.00,223.00,58.00,56.00,54.00,39.00,92.00,104.00,31.00,274.00,583.00,60.00,103.00,0.00,0.00,0.00
01480  Mikkola (Vantaa),879.00,1.00,0.00,48.00,0.00,0.00,232.00,139.00,39.00,24.00,4.00,0.00,0.00,29.00,36.00,0.00,128.00,179.00,8.00,12.00,0.00,0.00,0.00
01490  Nikinmäki (Vantaa),504.00,2.00,0.00,8.00,0.00,23.00,242.00,42.00,35.00,10.00,2.00,5.00,1.00,37.00,26.00,0.00,4.00,49.00,5.00,13.00,0.00,0.00,0.00
01510  Kirkonkylä-Veromäki (Vantaa),17200.00,3.00,9.00,3298.00,10.00,36.00,1271.00,6857.00,782.00,717.00,504.00,92.00,115.00,1205.00,1291.00,19.00,150.00,396.00,92.00,353.00,0.00,0.00,0.00
01520  Tammisto (Vantaa),748.00,0.00,0.00,138.00,0.00,5.00,58.00,101.00,30.00,19.00,14.00,3.00,0.00,27.00,11.00,0.00,146.00,153.00,23.00,20.00,0.00,0.00,0.00
01530  Veromiehenkylä (Vantaa),14993.00,0.00,1.00,1104.00,88.00,40.00,532.00,2029.00,7126.00,824.00,477.00,177.00,58.00,322.00,799.00,1157.00,119.00,104.00,31.00,5.00,0.00,0.00,0.00
01600  Myyrmäki (Vantaa),4231.00,5.00,0.00,27.00,1.00,0.00,341.00,663.00,47.00,185.00,66.00,39.00,58.00,203.00,104.00,47.00,605.00,1468.00,201.00,171.00,0.00,0.00,0.00
01610  Kaivoksela (Vantaa),2784.00,0.00,0.00,29.00,0.00,95.00,945.00,691.00,157.00,64.00,50.00,0.00,27.00,302.00,196.00,0.00,63.00,113.00,30.00,22.00,0.00,0.00,0.00
01620  Martinlaakso (Vantaa),5143.00,1.00,0.00,1936.00,48.00,0.00,327.00,563.00,151.00,191.00,129.00,12.00,9.00,991.00,85.00,41.00,243.00,329.00,39.00,48.00,0.00,0.00,0.00
01630  Hämeenkylä (Vantaa),244.00,0.00,0.00,1.00,0.00,0.00,25.00,63.00,34.00,36.00,7.00,0.00,4.00,3.00,8.00,0.00,10.00,20.00,1.00,32.00,0.00,0.00,0.00
01640  Hämevaara (Vantaa),1217.00,0.00,0.00,79.00,0.00,0.00,95.00,536.00,141.00,11.00,42.00,2.00,3.00,103.00,112.00,0.00,1.00,25.00,58.00,9.00,0.00,0.00,0.00
01650  Vapaala (Vantaa),1579.00,2.00,0.00,79.00,0.00,0.00,901.00,90.00,23.00,12.00,20.00,0.00,9.00,254.00,22.00,0.00,45.00,98.00,5.00,19.00,0.00,0.00,0.00
01660  Varisto (Vantaa),300.00,0.00,0.00,3.00,0.00,0.00,26.00,42.00,8.00,13.00,3.00,0.00,0.00,5.00,51.00,0.00,68.00,73.00,1.00,7.00,0.00,0.00,0.00
01670  Vantaanlaakso (Vantaa),1873.00,0.00,0.00,1282.00,0.00,0.00,223.00,136.00,15.00,24.00,32.00,1.00,2.00,35.00,9.00,56.00,8.00,40.00,3.00,7.00,0.00,0.00,0.00
01680  Askisto (Vantaa),224.00,0.00,0.00,3.00,0.00,4.00,41.00,38.00,35.00,4.00,4.00,0.00,0.00,13.00,4.00,0.00,28.00,41.00,5.00,4.00,0.00,0.00,0.00
